
Main setup parameters:

  Using cache mode: mfwt
  Cache 1/8 capacity: 33554432 bytes
  Core 1/8 capacity: 33554432 bytes
  FlashSim page size: 4096 bytes
  FlashSim enable data: false

Experiment parameters:

  Intensity: 12000 4KiB-Reqs/s
  Reads percentage: 0%
  Approx hit ratio: 80%

Begin stabilizing stage... (0 - 15 secs)

  *** #0 @ 500.760 ms: miss_ratio = 0.00000, load_admit = 1.000, cache_tp = 5216.067, core_tp = 0.000
  *** #0 @ 1001.496 ms: miss_ratio = 0.00000, load_admit = 0.990, cache_tp = 5511.887, core_tp = 0.000
  *** #0 @ 1502.523 ms: miss_ratio = 0.00000, load_admit = 0.980, cache_tp = 4566.624, core_tp = 0.000
  *** #0 @ 2002.632 ms: miss_ratio = 0.00000, load_admit = 0.950, cache_tp = 775.830, core_tp = 0.000
  *** #0 @ 2503.405 ms: miss_ratio = 0.00000, load_admit = 0.920, cache_tp = 7396.570, core_tp = 0.000
  *** #0 @ 3003.838 ms: miss_ratio = 0.00000, load_admit = 0.940, cache_tp = 5251.449, core_tp = 0.000
  *** #0 @ 3504.846 ms: miss_ratio = 0.00000, load_admit = 0.920, cache_tp = 3488.969, core_tp = 0.000
  *** #0 @ 4005.403 ms: miss_ratio = 0.00000, load_admit = 0.920, cache_tp = 1214.646, core_tp = 0.000
  *** #0 @ 4505.600 ms: miss_ratio = 0.00000, load_admit = 0.880, cache_tp = 5981.648, core_tp = 0.000
  *** #0 @ 5006.464 ms: miss_ratio = 0.00000, load_admit = 0.860, cache_tp = 1181.957, core_tp = 0.000
  *** #0 @ 5507.412 ms: miss_ratio = 0.00000, load_admit = 0.850, cache_tp = 7585.625, core_tp = 0.000
  *** #0 @ 6008.190 ms: miss_ratio = 0.00000, load_admit = 0.850, cache_tp = 3778.120, core_tp = 0.000
  *** #0 @ 6508.305 ms: miss_ratio = 0.00000, load_admit = 0.850, cache_tp = 5710.686, core_tp = 0.000
  *** #0 @ 7008.571 ms: miss_ratio = 0.00000, load_admit = 0.810, cache_tp = 3981.882, core_tp = 0.000
  *** #0 @ 7508.798 ms: miss_ratio = 0.00000, load_admit = 0.800, cache_tp = 8292.228, core_tp = 0.000
  *** #0 @ 8009.257 ms: miss_ratio = 0.00000, load_admit = 0.800, cache_tp = 1646.490, core_tp = 0.000
  *** #0 @ 8509.948 ms: miss_ratio = 0.00000, load_admit = 0.740, cache_tp = 8771.874, core_tp = 0.000
  *** #0 @ 9010.115 ms: miss_ratio = 0.00000, load_admit = 0.740, cache_tp = 615.794, core_tp = 0.000
  *** #0 @ 9510.591 ms: miss_ratio = 0.00000, load_admit = 0.760, cache_tp = 4507.712, core_tp = 0.000
  *** #0 @ 10010.603 ms: miss_ratio = 0.00000, load_admit = 0.740, cache_tp = 7439.818, core_tp = 0.000
  *** #0 @ 10511.376 ms: miss_ratio = 0.00000, load_admit = 0.760, cache_tp = 854.678, core_tp = 0.000
  *** #0 @ 11012.132 ms: miss_ratio = 0.00000, load_admit = 0.740, cache_tp = 423.360, core_tp = 0.000
  *** #0 @ 11512.610 ms: miss_ratio = 0.00000, load_admit = 0.760, cache_tp = 1966.124, core_tp = 0.000
  *** #0 @ 12012.975 ms: miss_ratio = 0.00000, load_admit = 0.750, cache_tp = 271.801, core_tp = 0.000
  *** #0 @ 12513.734 ms: miss_ratio = 0.00000, load_admit = 0.750, cache_tp = 543.175, core_tp = 0.000
  *** #0 @ 13014.110 ms: miss_ratio = 0.00000, load_admit = 0.750, cache_tp = 1702.723, core_tp = 0.000
  *** #0 @ 13514.249 ms: miss_ratio = 0.00000, load_admit = 0.720, cache_tp = 2735.236, core_tp = 0.000
  *** #0 @ 14015.088 ms: miss_ratio = 0.00000, load_admit = 0.720, cache_tp = 4368.669, core_tp = 0.000
  *** #0 @ 14515.362 ms: miss_ratio = 0.00000, load_admit = 0.720, cache_tp = 223.877, core_tp = 0.000

Measuring delta overhead... (15 - 30 secs)

  ??? #0 @ 15015.425 ms: miss_ratio = 0.00000, load_admit = 0.700, cache_tp = 2751.656, core_tp = 0.000
  ??? #0 @ 15515.794 ms: miss_ratio = 0.00000, load_admit = 0.670, cache_tp = 2198.376, core_tp = 0.000
  ??? #0 @ 16016.736 ms: miss_ratio = 0.00000, load_admit = 0.670, cache_tp = 2523.247, core_tp = 0.000
  ??? #0 @ 16517.325 ms: miss_ratio = 0.00000, load_admit = 0.650, cache_tp = 4298.938, core_tp = 0.000
  ??? #0 @ 17018.017 ms: miss_ratio = 0.00000, load_admit = 0.650, cache_tp = 4361.964, core_tp = 0.000
  ??? #0 @ 17518.562 ms: miss_ratio = 0.00000, load_admit = 0.630, cache_tp = 2685.073, core_tp = 0.000
  ??? #0 @ 18018.986 ms: miss_ratio = 0.00000, load_admit = 0.660, cache_tp = 1998.306, core_tp = 0.000
  ??? #0 @ 18519.419 ms: miss_ratio = 0.00000, load_admit = 0.650, cache_tp = 1342.838, core_tp = 0.000
  ??? #0 @ 19020.060 ms: miss_ratio = 0.00000, load_admit = 0.660, cache_tp = 2780.433, core_tp = 0.000
  ??? #0 @ 19520.782 ms: miss_ratio = 0.00000, load_admit = 0.650, cache_tp = 543.215, core_tp = 0.000
  ??? #0 @ 20021.798 ms: miss_ratio = 0.00000, load_admit = 0.640, cache_tp = 4606.640, core_tp = 71.854
  ??? #0 @ 20522.570 ms: miss_ratio = 0.00000, load_admit = 0.610, cache_tp = 814.743, core_tp = 0.000
  ??? #0 @ 21023.537 ms: miss_ratio = 0.00000, load_admit = 0.590, cache_tp = 758.533, core_tp = 0.000
  ??? #0 @ 21524.188 ms: miss_ratio = 0.00000, load_admit = 0.590, cache_tp = 1422.149, core_tp = 0.000
  ??? #0 @ 22024.465 ms: miss_ratio = 0.00000, load_admit = 0.590, cache_tp = 671.627, core_tp = 0.000
  ??? #0 @ 22525.319 ms: miss_ratio = 0.00000, load_admit = 0.580, cache_tp = 119.796, core_tp = 0.000
  ??? #0 @ 23025.926 ms: miss_ratio = 0.00000, load_admit = 0.560, cache_tp = 1478.204, core_tp = 47.942
  ??? #0 @ 23525.968 ms: miss_ratio = 0.00000, load_admit = 0.580, cache_tp = 959.921, core_tp = 0.000
  ??? #0 @ 24026.061 ms: miss_ratio = 0.00000, load_admit = 0.550, cache_tp = 3367.368, core_tp = 39.992
  ??? #0 @ 24526.820 ms: miss_ratio = 0.00000, load_admit = 0.550, cache_tp = 343.479, core_tp = 0.000
  ??? #0 @ 25027.704 ms: miss_ratio = 0.00000, load_admit = 0.530, cache_tp = 966.291, core_tp = 0.000
  ??? #0 @ 25528.212 ms: miss_ratio = 0.00000, load_admit = 0.540, cache_tp = 3396.552, core_tp = 0.000
  ??? #0 @ 26028.352 ms: miss_ratio = 0.00000, load_admit = 0.510, cache_tp = 143.960, core_tp = 0.000
  ??? #0 @ 26528.443 ms: miss_ratio = 0.00000, load_admit = 0.510, cache_tp = 1543.721, core_tp = 23.996
  ??? #0 @ 27029.467 ms: miss_ratio = 0.00000, load_admit = 0.510, cache_tp = 1828.254, core_tp = 15.967
  ??? #0 @ 27529.547 ms: miss_ratio = 0.00000, load_admit = 0.520, cache_tp = 215.966, core_tp = 7.999
  ??? #0 @ 28030.434 ms: miss_ratio = 0.00000, load_admit = 0.490, cache_tp = 311.447, core_tp = 0.000
  ??? #0 @ 28530.980 ms: miss_ratio = 0.00000, load_admit = 0.470, cache_tp = 1166.728, core_tp = 0.000
  ??? #0 @ 29031.133 ms: miss_ratio = 0.00000, load_admit = 0.490, cache_tp = 711.781, core_tp = 0.000
  ??? #0 @ 29531.564 ms: miss_ratio = 0.00000, load_admit = 0.480, cache_tp = 511.559, core_tp = 0.000

Start the experiment... (30 - 60 secs)

  ... #340 @ 30031.808 ms: miss_ratio = 0.00000, load_admit = 0.480, cache_tp = 1639.200, core_tp = 0.000
  ... #5740 @ 30532.080 ms: miss_ratio = 0.00000, load_admit = 0.480, cache_tp = 575.687, core_tp = 0.000
  ... #11050 @ 31032.227 ms: miss_ratio = 0.00000, load_admit = 0.470, cache_tp = 1191.649, core_tp = 7.998
  ... #16350 @ 31532.639 ms: miss_ratio = 0.00000, load_admit = 0.450, cache_tp = 887.269, core_tp = 0.000
  ... #21660 @ 32033.332 ms: miss_ratio = 0.00000, load_admit = 0.470, cache_tp = 255.646, core_tp = 0.000
  ... #27230 @ 32533.644 ms: miss_ratio = 0.00000, load_admit = 0.440, cache_tp = 1143.286, core_tp = 0.000
  ... #32700 @ 33034.010 ms: miss_ratio = 0.00000, load_admit = 0.440, cache_tp = 1566.854, core_tp = 31.977
  ... #38300 @ 33534.674 ms: miss_ratio = 0.00000, load_admit = 0.430, cache_tp = 4761.675, core_tp = 15.979
  ... #43780 @ 34035.381 ms: miss_ratio = 0.00000, load_admit = 0.450, cache_tp = 2117.007, core_tp = 0.000
  ... #49350 @ 34536.029 ms: miss_ratio = 0.00000, load_admit = 0.440, cache_tp = 215.721, core_tp = 0.000
  ... #54990 @ 35036.489 ms: miss_ratio = 0.00000, load_admit = 0.420, cache_tp = 2181.992, core_tp = 7.993
  ... #60440 @ 35537.413 ms: miss_ratio = 0.00000, load_admit = 0.440, cache_tp = 2195.942, core_tp = 15.970
  ... #65730 @ 36037.749 ms: miss_ratio = 0.00000, load_admit = 0.440, cache_tp = 3061.940, core_tp = 71.952
  ... #71430 @ 36538.249 ms: miss_ratio = 0.00000, load_admit = 0.470, cache_tp = 4995.008, core_tp = 0.000
  ... #77030 @ 37038.285 ms: miss_ratio = 0.00000, load_admit = 0.450, cache_tp = 3071.780, core_tp = 15.999
  ... #82680 @ 37538.486 ms: miss_ratio = 0.00000, load_admit = 0.450, cache_tp = 2950.811, core_tp = 31.987
  ... #88260 @ 38038.951 ms: miss_ratio = 0.00000, load_admit = 0.450, cache_tp = 1310.782, core_tp = 23.978
  ... #93770 @ 38539.764 ms: miss_ratio = 0.00000, load_admit = 0.410, cache_tp = 1717.206, core_tp = 23.961
