
Main setup parameters:

  Using cache mode: mfwt
  Cache 1/8 capacity: 33554432 bytes
  Core 1/8 capacity: 33554432 bytes
  FlashSim page size: 4096 bytes
  FlashSim enable data: false

Experiment parameters:

  Intensity: 12000 4KiB-Reqs/s
  Reads percentage: 95%
  Approx hit ratio: 80%

Begin stabilizing stage... (0 - 15 secs)

  *** #0 @ 500.839 ms: miss_ratio = 0.92261, load_admit = 0.980, cache_tp = 263.558, core_tp = 25597.026
  *** #0 @ 1001.184 ms: miss_ratio = 0.89013, load_admit = 0.940, cache_tp = 7.994, core_tp = 22376.561
  *** #0 @ 1501.400 ms: miss_ratio = 0.82746, load_admit = 0.950, cache_tp = 87.962, core_tp = 22446.343
  *** #0 @ 2001.434 ms: miss_ratio = 0.77388, load_admit = 0.950, cache_tp = 303.979, core_tp = 21422.503
  *** #0 @ 2502.097 ms: miss_ratio = 0.69357, load_admit = 0.890, cache_tp = 6950.784, core_tp = 21986.849
  *** #0 @ 3002.653 ms: miss_ratio = 0.67879, load_admit = 0.840, cache_tp = 15742.498, core_tp = 8366.698
  *** #0 @ 3502.948 ms: miss_ratio = 0.66382, load_admit = 0.810, cache_tp = 23626.085, core_tp = 15047.138
  *** #0 @ 4003.418 ms: miss_ratio = 0.65214, load_admit = 0.830, cache_tp = 7760.697, core_tp = 5346.968
  *** #0 @ 4503.602 ms: miss_ratio = 0.64223, load_admit = 0.770, cache_tp = 24351.044, core_tp = 3782.609
  *** #0 @ 5004.151 ms: miss_ratio = 0.63402, load_admit = 0.720, cache_tp = 22575.232, core_tp = 11547.331
  *** #0 @ 5504.152 ms: miss_ratio = 0.62895, load_admit = 0.700, cache_tp = 9279.980, core_tp = 231.999
  *** #0 @ 6004.804 ms: miss_ratio = 0.61871, load_admit = 0.670, cache_tp = 11680.775, core_tp = 23753.039
  *** #0 @ 6505.457 ms: miss_ratio = 0.61350, load_admit = 0.620, cache_tp = 8772.530, core_tp = 2428.824
  *** #0 @ 7005.651 ms: miss_ratio = 0.60903, load_admit = 0.670, cache_tp = 8868.570, core_tp = 3646.590
  *** #0 @ 7506.272 ms: miss_ratio = 0.60119, load_admit = 0.680, cache_tp = 6967.347, core_tp = 13942.685
  *** #0 @ 8007.018 ms: miss_ratio = 0.59477, load_admit = 0.610, cache_tp = 14610.189, core_tp = 9609.654
  *** #0 @ 8507.055 ms: miss_ratio = 0.58754, load_admit = 0.600, cache_tp = 9143.322, core_tp = 14414.932
  *** #0 @ 9007.438 ms: miss_ratio = 0.58316, load_admit = 0.580, cache_tp = 9272.893, core_tp = 279.786
  *** #0 @ 9508.307 ms: miss_ratio = 0.57616, load_admit = 0.610, cache_tp = 11076.745, core_tp = 23583.004
  *** #0 @ 10009.051 ms: miss_ratio = 0.56716, load_admit = 0.610, cache_tp = 12892.832, core_tp = 27263.468
  *** #0 @ 10509.282 ms: miss_ratio = 0.56082, load_admit = 0.620, cache_tp = 11570.655, core_tp = 18103.637
  *** #0 @ 11009.471 ms: miss_ratio = 0.55745, load_admit = 0.610, cache_tp = 7893.018, core_tp = 1351.489
  *** #0 @ 11510.049 ms: miss_ratio = 0.55349, load_admit = 0.590, cache_tp = 8709.918, core_tp = 942.909
  *** #0 @ 12010.166 ms: miss_ratio = 0.54694, load_admit = 0.540, cache_tp = 11677.286, core_tp = 25889.984
  *** #0 @ 12510.578 ms: miss_ratio = 0.53958, load_admit = 0.550, cache_tp = 11990.112, core_tp = 25938.609
  *** #0 @ 13010.989 ms: miss_ratio = 0.53408, load_admit = 0.510, cache_tp = 9584.129, core_tp = 11854.265
  *** #0 @ 13511.560 ms: miss_ratio = 0.52949, load_admit = 0.510, cache_tp = 4682.651, core_tp = 5106.167
  *** #0 @ 14012.041 ms: miss_ratio = 0.52580, load_admit = 0.490, cache_tp = 7161.106, core_tp = 2309.776
  *** #0 @ 14512.915 ms: miss_ratio = 0.51968, load_admit = 0.490, cache_tp = 11547.825, core_tp = 25882.781

Measuring delta overhead... (15 - 30 secs)

  ??? #0 @ 15013.757 ms: miss_ratio = 0.51393, load_admit = 0.440, cache_tp = 13361.505, core_tp = 13840.698
  ??? #0 @ 15514.655 ms: miss_ratio = 0.50913, load_admit = 0.470, cache_tp = 7674.215, core_tp = 3537.645
  ??? #0 @ 16014.848 ms: miss_ratio = 0.50410, load_admit = 0.420, cache_tp = 9172.457, core_tp = 13066.953
  ??? #0 @ 16515.747 ms: miss_ratio = 0.50003, load_admit = 0.470, cache_tp = 6188.875, core_tp = 3737.282
  ??? #0 @ 17016.724 ms: miss_ratio = 0.49601, load_admit = 0.550, cache_tp = 10028.394, core_tp = 4942.338
  ??? #0 @ 17516.731 ms: miss_ratio = 0.49137, load_admit = 0.560, cache_tp = 10279.864, core_tp = 10887.856
  ??? #0 @ 18017.384 ms: miss_ratio = 0.48633, load_admit = 0.530, cache_tp = 12975.047, core_tp = 26557.301
  ??? #0 @ 18518.175 ms: miss_ratio = 0.48072, load_admit = 0.520, cache_tp = 12683.936, core_tp = 27188.991
  ??? #0 @ 19018.420 ms: miss_ratio = 0.47504, load_admit = 0.530, cache_tp = 14089.082, core_tp = 24348.044
  ??? #0 @ 19518.883 ms: miss_ratio = 0.47191, load_admit = 0.510, cache_tp = 7409.142, core_tp = 0.000
  ??? #0 @ 20019.671 ms: miss_ratio = 0.46749, load_admit = 0.500, cache_tp = 8562.515, core_tp = 13970.000
  ??? #0 @ 20519.930 ms: miss_ratio = 0.46371, load_admit = 0.500, cache_tp = 7931.883, core_tp = 9834.895
  ??? #0 @ 21019.963 ms: miss_ratio = 0.45873, load_admit = 0.540, cache_tp = 15087.008, core_tp = 28838.104
  ??? #0 @ 21520.494 ms: miss_ratio = 0.45389, load_admit = 0.550, cache_tp = 10996.317, core_tp = 28489.730
  ??? #0 @ 22020.772 ms: miss_ratio = 0.45083, load_admit = 0.570, cache_tp = 11457.637, core_tp = 3030.317
  ??? #0 @ 22521.471 ms: miss_ratio = 0.44761, load_admit = 0.560, cache_tp = 10273.646, core_tp = 9562.640
  ??? #0 @ 23021.832 ms: miss_ratio = 0.44478, load_admit = 0.660, cache_tp = 8921.551, core_tp = 855.382
  ??? #0 @ 23522.522 ms: miss_ratio = 0.44221, load_admit = 0.670, cache_tp = 9738.553, core_tp = 2460.602
  ??? #0 @ 24023.488 ms: miss_ratio = 0.43962, load_admit = 0.720, cache_tp = 9405.843, core_tp = 4000.278
  ??? #0 @ 24523.925 ms: miss_ratio = 0.43701, load_admit = 0.670, cache_tp = 6642.195, core_tp = 10478.842
  ??? #0 @ 25024.584 ms: miss_ratio = 0.43482, load_admit = 0.700, cache_tp = 13757.867, core_tp = 359.526
  ??? #0 @ 25525.138 ms: miss_ratio = 0.43085, load_admit = 0.740, cache_tp = 16269.973, core_tp = 28784.108
  ??? #0 @ 26025.730 ms: miss_ratio = 0.42879, load_admit = 0.750, cache_tp = 9820.356, core_tp = 1757.916
  ??? #0 @ 26525.834 ms: miss_ratio = 0.42491, load_admit = 0.720, cache_tp = 15652.768, core_tp = 22595.334
  ??? #0 @ 27026.732 ms: miss_ratio = 0.42096, load_admit = 0.700, cache_tp = 14022.796, core_tp = 28580.630
  ??? #0 @ 27527.148 ms: miss_ratio = 0.41843, load_admit = 0.690, cache_tp = 13532.744, core_tp = 3405.168
  ??? #0 @ 28027.779 ms: miss_ratio = 0.41432, load_admit = 0.660, cache_tp = 15628.281, core_tp = 20502.131
  ??? #0 @ 28527.781 ms: miss_ratio = 0.40992, load_admit = 0.640, cache_tp = 18655.915, core_tp = 27399.875
  ??? #0 @ 29028.096 ms: miss_ratio = 0.40511, load_admit = 0.600, cache_tp = 20059.374, core_tp = 19987.419
  ??? #0 @ 29528.871 ms: miss_ratio = 0.40286, load_admit = 0.630, cache_tp = 8307.119, core_tp = 2156.656

Start the experiment... (30 - 60 secs)

  ... #300 @ 30029.123 ms: miss_ratio = 0.39966, load_admit = 0.630, cache_tp = 12849.524, core_tp = 21205.313
  ... #5660 @ 30529.430 ms: miss_ratio = 0.39708, load_admit = 0.660, cache_tp = 10161.771, core_tp = 2998.162
  ... #11030 @ 31029.525 ms: miss_ratio = 0.39307, load_admit = 0.650, cache_tp = 17308.701, core_tp = 28018.660
  ... #16400 @ 31529.993 ms: miss_ratio = 0.38970, load_admit = 0.630, cache_tp = 14082.820, core_tp = 16152.882
  ... #21780 @ 32030.114 ms: miss_ratio = 0.38674, load_admit = 0.580, cache_tp = 12828.887, core_tp = 7126.271
  ... #27150 @ 32530.167 ms: miss_ratio = 0.38287, load_admit = 0.570, cache_tp = 15606.374, core_tp = 15750.359
  ... #32520 @ 33030.366 ms: miss_ratio = 0.37999, load_admit = 0.540, cache_tp = 10851.673, core_tp = 7692.933
  ... #38060 @ 33531.252 ms: miss_ratio = 0.37546, load_admit = 0.510, cache_tp = 19285.810, core_tp = 27974.407
  ... #43620 @ 34031.959 ms: miss_ratio = 0.37173, load_admit = 0.500, cache_tp = 13924.315, core_tp = 18142.352
  ... #49160 @ 34532.202 ms: miss_ratio = 0.36897, load_admit = 0.500, cache_tp = 7164.517, core_tp = 6316.929
  ... #54670 @ 35033.061 ms: miss_ratio = 0.36529, load_admit = 0.510, cache_tp = 17497.936, core_tp = 23248.057
  ... #60000 @ 35533.824 ms: miss_ratio = 0.36297, load_admit = 0.490, cache_tp = 6853.550, core_tp = 1278.051
  ... #65520 @ 36034.266 ms: miss_ratio = 0.35883, load_admit = 0.520, cache_tp = 18016.071, core_tp = 27935.301
  ... #71000 @ 36534.289 ms: miss_ratio = 0.35572, load_admit = 0.500, cache_tp = 12503.430, core_tp = 11911.457
  ... #76430 @ 37035.034 ms: miss_ratio = 0.35233, load_admit = 0.510, cache_tp = 13547.791, core_tp = 11351.068
  ... #81970 @ 37535.630 ms: miss_ratio = 0.34818, load_admit = 0.510, cache_tp = 14223.069, core_tp = 23044.568
  ... #87370 @ 38036.039 ms: miss_ratio = 0.34593, load_admit = 0.500, cache_tp = 12597.676, core_tp = 495.594
  ... #92750 @ 38536.932 ms: miss_ratio = 0.34305, load_admit = 0.530, cache_tp = 12306.033, core_tp = 6851.769
  ... #98060 @ 39037.672 ms: miss_ratio = 0.34120, load_admit = 0.580, cache_tp = 6374.561, core_tp = 0.000
  ... #103540 @ 39538.256 ms: miss_ratio = 0.33926, load_admit = 0.590, cache_tp = 7862.818, core_tp = 727.151
  ... #109020 @ 40038.371 ms: miss_ratio = 0.33643, load_admit = 0.530, cache_tp = 13324.934, core_tp = 19475.519
  ... #114480 @ 40539.088 ms: miss_ratio = 0.33385, load_admit = 0.530, cache_tp = 9833.906, core_tp = 9921.781
  ... #119880 @ 41039.370 ms: miss_ratio = 0.32964, load_admit = 0.490, cache_tp = 17997.823, core_tp = 18613.475
  ... #125380 @ 41539.660 ms: miss_ratio = 0.32766, load_admit = 0.490, cache_tp = 9930.254, core_tp = 0.000
  ... #130870 @ 42040.367 ms: miss_ratio = 0.32405, load_admit = 0.430, cache_tp = 21162.052, core_tp = 26690.229
  ... #136360 @ 42541.090 ms: miss_ratio = 0.32051, load_admit = 0.420, cache_tp = 20394.530, core_tp = 27264.603
  ... #141860 @ 43041.368 ms: miss_ratio = 0.31685, load_admit = 0.450, cache_tp = 16454.856, core_tp = 21588.004
  ... #147390 @ 43541.930 ms: miss_ratio = 0.31477, load_admit = 0.420, cache_tp = 9013.863, core_tp = 974.904
  ... #152900 @ 44041.937 ms: miss_ratio = 0.31135, load_admit = 0.420, cache_tp = 10599.842, core_tp = 27647.589
