
Main setup parameters:

  Using cache mode: mfwa
  Cache 1/8 capacity: 33554432 bytes
  Core 1/8 capacity: 33554432 bytes
  FlashSim page size: 4096 bytes
  FlashSim enable data: false

Experiment parameters:

  Intensity: 14000 4KiB-Reqs/s
  Reads percentage: 0%
  Approx hit ratio: 80%

Begin stabilizing stage... (0 - 15 secs)

  *** #0 @ 500.794 ms: miss_ratio = 0.00000, load_admit = 1.000, cache_tp = 0.000, core_tp = 351.442
  *** #0 @ 1001.271 ms: miss_ratio = 0.00000, load_admit = 0.980, cache_tp = 0.000, core_tp = 1718.362
  *** #0 @ 1501.344 ms: miss_ratio = 0.00000, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  *** #0 @ 2001.686 ms: miss_ratio = 0.00000, load_admit = 0.980, cache_tp = 0.000, core_tp = 3229.786
  *** #0 @ 2502.123 ms: miss_ratio = 0.00000, load_admit = 0.940, cache_tp = 0.000, core_tp = 2973.404
  *** #0 @ 3002.289 ms: miss_ratio = 0.00000, load_admit = 0.940, cache_tp = 0.000, core_tp = 2087.305
  *** #0 @ 3502.410 ms: miss_ratio = 0.00000, load_admit = 0.950, cache_tp = 0.000, core_tp = 615.851
  *** #0 @ 4002.467 ms: miss_ratio = 0.00000, load_admit = 0.950, cache_tp = 0.000, core_tp = 0.000
  *** #0 @ 4502.691 ms: miss_ratio = 0.00000, load_admit = 0.920, cache_tp = 0.000, core_tp = 751.663
  *** #0 @ 5002.738 ms: miss_ratio = 0.00000, load_admit = 0.940, cache_tp = 0.000, core_tp = 295.973
  *** #0 @ 5502.932 ms: miss_ratio = 0.00000, load_admit = 0.900, cache_tp = 0.000, core_tp = 5589.827
  *** #0 @ 6003.685 ms: miss_ratio = 0.00000, load_admit = 0.920, cache_tp = 0.000, core_tp = 814.772
  *** #0 @ 6504.453 ms: miss_ratio = 0.00000, load_admit = 0.890, cache_tp = 0.000, core_tp = 1166.210
  *** #0 @ 7005.297 ms: miss_ratio = 0.00000, load_admit = 0.890, cache_tp = 0.000, core_tp = 3977.286
  *** #0 @ 7505.796 ms: miss_ratio = 0.00000, load_admit = 0.880, cache_tp = 0.000, core_tp = 255.745
  *** #0 @ 8006.400 ms: miss_ratio = 0.00000, load_admit = 0.860, cache_tp = 0.000, core_tp = 4234.884
  *** #0 @ 8506.769 ms: miss_ratio = 0.00000, load_admit = 0.880, cache_tp = 0.000, core_tp = 407.699
  *** #0 @ 9007.039 ms: miss_ratio = 0.00000, load_admit = 0.860, cache_tp = 0.000, core_tp = 2822.471
  *** #0 @ 9507.109 ms: miss_ratio = 0.00000, load_admit = 0.840, cache_tp = 0.000, core_tp = 0.000
  *** #0 @ 10007.280 ms: miss_ratio = 0.00000, load_admit = 0.860, cache_tp = 0.000, core_tp = 399.863
  *** #0 @ 10507.377 ms: miss_ratio = 0.00000, load_admit = 0.840, cache_tp = 0.000, core_tp = 1471.713
  *** #0 @ 11007.503 ms: miss_ratio = 0.00000, load_admit = 0.830, cache_tp = 0.000, core_tp = 559.860
  *** #0 @ 11508.001 ms: miss_ratio = 0.00000, load_admit = 0.810, cache_tp = 0.000, core_tp = 4267.748
  *** #0 @ 12008.011 ms: miss_ratio = 0.00000, load_admit = 0.830, cache_tp = 0.000, core_tp = 1095.978
  *** #0 @ 12508.886 ms: miss_ratio = 0.00000, load_admit = 0.810, cache_tp = 0.000, core_tp = 6628.403
  *** #0 @ 13008.988 ms: miss_ratio = 0.00000, load_admit = 0.800, cache_tp = 0.000, core_tp = 343.929
  *** #0 @ 13509.674 ms: miss_ratio = 0.00000, load_admit = 0.780, cache_tp = 0.000, core_tp = 3187.630
  *** #0 @ 14010.404 ms: miss_ratio = 0.00000, load_admit = 0.760, cache_tp = 0.000, core_tp = 1941.165
  *** #0 @ 14510.857 ms: miss_ratio = 0.00000, load_admit = 0.780, cache_tp = 0.000, core_tp = 399.638

Measuring delta overhead... (15 - 30 secs)

  ??? #0 @ 15011.475 ms: miss_ratio = 0.00000, load_admit = 0.750, cache_tp = 0.000, core_tp = 1909.639
  ??? #0 @ 15512.330 ms: miss_ratio = 0.00000, load_admit = 0.770, cache_tp = 0.000, core_tp = 1301.774
  ??? #0 @ 16013.141 ms: miss_ratio = 0.00000, load_admit = 0.750, cache_tp = 0.000, core_tp = 686.885
  ??? #0 @ 16513.369 ms: miss_ratio = 0.00000, load_admit = 0.770, cache_tp = 0.000, core_tp = 3406.448
  ??? #0 @ 17013.549 ms: miss_ratio = 0.00000, load_admit = 0.760, cache_tp = 0.000, core_tp = 0.000
  ??? #0 @ 17513.566 ms: miss_ratio = 0.00000, load_admit = 0.760, cache_tp = 0.000, core_tp = 3023.899
  ??? #0 @ 18014.104 ms: miss_ratio = 0.00000, load_admit = 0.730, cache_tp = 0.000, core_tp = 1078.838
  ??? #0 @ 18514.466 ms: miss_ratio = 0.00000, load_admit = 0.740, cache_tp = 0.000, core_tp = 2510.183
  ??? #0 @ 19015.274 ms: miss_ratio = 0.00000, load_admit = 0.760, cache_tp = 0.000, core_tp = 1150.143
  ??? #0 @ 19515.302 ms: miss_ratio = 0.00000, load_admit = 0.750, cache_tp = 0.000, core_tp = 711.960
  ??? #0 @ 20016.126 ms: miss_ratio = 0.00000, load_admit = 0.740, cache_tp = 0.000, core_tp = 0.000
  ??? #0 @ 20516.646 ms: miss_ratio = 0.00000, load_admit = 0.720, cache_tp = 0.000, core_tp = 1414.527
  ??? #0 @ 21017.362 ms: miss_ratio = 0.00000, load_admit = 0.740, cache_tp = 0.000, core_tp = 2428.523
  ??? #0 @ 21517.829 ms: miss_ratio = 0.00000, load_admit = 0.760, cache_tp = 0.000, core_tp = 1870.255
  ??? #0 @ 22018.473 ms: miss_ratio = 0.00000, load_admit = 0.740, cache_tp = 0.000, core_tp = 2053.355
  ??? #0 @ 22518.758 ms: miss_ratio = 0.00000, load_admit = 0.730, cache_tp = 0.000, core_tp = 0.000
  ??? #0 @ 23019.019 ms: miss_ratio = 0.00000, load_admit = 0.730, cache_tp = 0.000, core_tp = 1631.148
  ??? #0 @ 23519.102 ms: miss_ratio = 0.00000, load_admit = 0.720, cache_tp = 0.000, core_tp = 423.930
  ??? #0 @ 24019.337 ms: miss_ratio = 0.00000, load_admit = 0.720, cache_tp = 0.000, core_tp = 799.623
  ??? #0 @ 24520.046 ms: miss_ratio = 0.00000, load_admit = 0.740, cache_tp = 0.000, core_tp = 3666.801
  ??? #0 @ 25020.441 ms: miss_ratio = 0.00000, load_admit = 0.710, cache_tp = 0.000, core_tp = 1606.730
  ??? #0 @ 25520.953 ms: miss_ratio = 0.00000, load_admit = 0.710, cache_tp = 0.000, core_tp = 967.011
  ??? #0 @ 26021.688 ms: miss_ratio = 0.00000, load_admit = 0.700, cache_tp = 0.000, core_tp = 383.436
  ??? #0 @ 26521.781 ms: miss_ratio = 0.00000, load_admit = 0.710, cache_tp = 0.000, core_tp = 4575.152
  ??? #0 @ 27021.978 ms: miss_ratio = 0.00000, load_admit = 0.680, cache_tp = 0.000, core_tp = 359.858
  ??? #0 @ 27522.529 ms: miss_ratio = 0.00000, load_admit = 0.670, cache_tp = 0.000, core_tp = 3859.741
  ??? #0 @ 28022.716 ms: miss_ratio = 0.00000, load_admit = 0.680, cache_tp = 0.000, core_tp = 151.943
  ??? #0 @ 28522.907 ms: miss_ratio = 0.00000, load_admit = 0.660, cache_tp = 0.000, core_tp = 1719.343
  ??? #0 @ 29023.328 ms: miss_ratio = 0.00000, load_admit = 0.650, cache_tp = 0.000, core_tp = 967.185
  ??? #0 @ 29523.745 ms: miss_ratio = 0.00000, load_admit = 0.630, cache_tp = 0.000, core_tp = 1742.547

Start the experiment... (30 - 60 secs)

  ... #270 @ 30023.947 ms: miss_ratio = 0.00000, load_admit = 0.650, cache_tp = 0.000, core_tp = 1623.344
  ... #6450 @ 30524.698 ms: miss_ratio = 0.00000, load_admit = 0.670, cache_tp = 0.000, core_tp = 7165.246
  ... #12550 @ 31025.187 ms: miss_ratio = 0.00000, load_admit = 0.660, cache_tp = 0.000, core_tp = 591.421
