
Main setup parameters:

  Using cache mode: wb
  Cache 1/8 capacity: 33554432 bytes
  Core 1/8 capacity: 33554432 bytes
  FlashSim page size: 4096 bytes
  FlashSim enable data: false

Experiment parameters:

  Intensity: 16000 4KiB-Reqs/s
  Reads percentage: 95%
  Approx hit ratio: 80%

Begin stabilizing stage... (0 - 15 secs)

  *** #0 @ 500.080 ms: miss_ratio = 0.94767, load_admit = 1.000, cache_tp = 239.962, core_tp = 28683.438
  *** #0 @ 1000.709 ms: miss_ratio = 0.90560, load_admit = 1.000, cache_tp = 127.839, core_tp = 15268.779
  *** #0 @ 1500.762 ms: miss_ratio = 0.81940, load_admit = 1.000, cache_tp = 279.971, core_tp = 8471.107
  *** #0 @ 2000.871 ms: miss_ratio = 0.72417, load_admit = 1.000, cache_tp = 279.939, core_tp = 4575.000
  *** #0 @ 2501.546 ms: miss_ratio = 0.61181, load_admit = 1.000, cache_tp = 327.558, core_tp = 2620.464
  *** #0 @ 3001.995 ms: miss_ratio = 0.49295, load_admit = 1.000, cache_tp = 775.304, core_tp = 1678.492
  *** #0 @ 3502.809 ms: miss_ratio = 0.40875, load_admit = 1.000, cache_tp = 607.011, core_tp = 1229.996
  *** #0 @ 4003.429 ms: miss_ratio = 0.34057, load_admit = 1.000, cache_tp = 623.227, core_tp = 1022.732
  *** #0 @ 4503.512 ms: miss_ratio = 0.28177, load_admit = 1.000, cache_tp = 1879.689, core_tp = 1111.816
  *** #0 @ 5003.819 ms: miss_ratio = 0.25172, load_admit = 1.000, cache_tp = 439.730, core_tp = 887.454
  *** #0 @ 5504.601 ms: miss_ratio = 0.22184, load_admit = 1.000, cache_tp = 926.552, core_tp = 870.639
  *** #0 @ 6005.101 ms: miss_ratio = 0.20348, load_admit = 1.000, cache_tp = 351.648, core_tp = 727.273
  *** #0 @ 6505.770 ms: miss_ratio = 0.17956, load_admit = 1.000, cache_tp = 2916.100, core_tp = 1086.547
  *** #0 @ 7005.820 ms: miss_ratio = 0.16272, load_admit = 1.000, cache_tp = 1559.842, core_tp = 983.900
  *** #0 @ 7505.924 ms: miss_ratio = 0.14167, load_admit = 1.000, cache_tp = 13069.304, core_tp = 1543.682
  *** #0 @ 8005.978 ms: miss_ratio = 0.12871, load_admit = 1.000, cache_tp = 30276.697, core_tp = 1095.880
  *** #0 @ 8506.094 ms: miss_ratio = 0.12097, load_admit = 1.000, cache_tp = 36631.513, core_tp = 695.839
  *** #0 @ 9006.653 ms: miss_ratio = 0.11515, load_admit = 1.000, cache_tp = 22998.275, core_tp = 487.455
  *** #0 @ 9507.260 ms: miss_ratio = 0.11011, load_admit = 1.000, cache_tp = 23523.439, core_tp = 543.340
  *** #0 @ 10007.655 ms: miss_ratio = 0.10548, load_admit = 1.000, cache_tp = 39081.143, core_tp = 887.299
  *** #0 @ 10508.124 ms: miss_ratio = 0.10173, load_admit = 1.000, cache_tp = 23921.544, core_tp = 599.437
  *** #0 @ 11008.568 ms: miss_ratio = 0.09807, load_admit = 1.000, cache_tp = 39293.125, core_tp = 503.553
  *** #0 @ 11508.850 ms: miss_ratio = 0.09465, load_admit = 1.000, cache_tp = 39593.716, core_tp = 559.685
  *** #0 @ 12009.160 ms: miss_ratio = 0.09185, load_admit = 1.000, cache_tp = 24105.062, core_tp = 527.673
  *** #0 @ 12509.662 ms: miss_ratio = 0.08881, load_admit = 1.000, cache_tp = 40151.641, core_tp = 591.406
  *** #0 @ 13009.755 ms: miss_ratio = 0.08637, load_admit = 1.000, cache_tp = 24187.497, core_tp = 519.903
  *** #0 @ 13510.345 ms: miss_ratio = 0.08355, load_admit = 1.000, cache_tp = 24515.090, core_tp = 511.397
  *** #0 @ 14010.512 ms: miss_ratio = 0.08056, load_admit = 1.000, cache_tp = 28030.634, core_tp = 623.792
  *** #0 @ 14510.718 ms: miss_ratio = 0.07682, load_admit = 1.000, cache_tp = 37392.563, core_tp = 551.772

Measuring delta overhead... (15 - 30 secs)

  ??? #0 @ 15011.301 ms: miss_ratio = 0.07482, load_admit = 1.000, cache_tp = 9468.963, core_tp = 447.478
  ??? #0 @ 15511.620 ms: miss_ratio = 0.07190, load_admit = 1.000, cache_tp = 40758.046, core_tp = 479.695
  ??? #0 @ 16012.171 ms: miss_ratio = 0.06919, load_admit = 1.000, cache_tp = 24580.904, core_tp = 527.419
  ??? #0 @ 16512.196 ms: miss_ratio = 0.06689, load_admit = 1.000, cache_tp = 24990.717, core_tp = 471.976
  ??? #0 @ 17012.623 ms: miss_ratio = 0.06445, load_admit = 1.000, cache_tp = 24682.955, core_tp = 551.530
  ??? #0 @ 17513.115 ms: miss_ratio = 0.06124, load_admit = 1.000, cache_tp = 40959.634, core_tp = 431.575
  ??? #0 @ 18013.795 ms: miss_ratio = 0.05904, load_admit = 1.000, cache_tp = 29320.135, core_tp = 383.479
  ??? #0 @ 18514.554 ms: miss_ratio = 0.05671, load_admit = 1.000, cache_tp = 36744.249, core_tp = 487.261
  ??? #0 @ 19015.251 ms: miss_ratio = 0.05522, load_admit = 1.000, cache_tp = 25013.149, core_tp = 479.332
  ??? #0 @ 19515.620 ms: miss_ratio = 0.05347, load_admit = 1.000, cache_tp = 40865.784, core_tp = 567.580
  ??? #0 @ 20015.869 ms: miss_ratio = 0.05210, load_admit = 1.000, cache_tp = 22612.756, core_tp = 607.698
  ??? #0 @ 20516.367 ms: miss_ratio = 0.05072, load_admit = 1.000, cache_tp = 39025.095, core_tp = 199.801
  ??? #0 @ 21016.654 ms: miss_ratio = 0.04951, load_admit = 1.000, cache_tp = 22962.827, core_tp = 983.436
  ??? #0 @ 21517.213 ms: miss_ratio = 0.04847, load_admit = 1.000, cache_tp = 39571.805, core_tp = 639.286
  ??? #0 @ 22017.842 ms: miss_ratio = 0.04722, load_admit = 1.000, cache_tp = 40037.635, core_tp = 543.317
  ??? #0 @ 22517.871 ms: miss_ratio = 0.04634, load_admit = 1.000, cache_tp = 22702.660, core_tp = 71.996
  ??? #0 @ 23018.153 ms: miss_ratio = 0.04542, load_admit = 1.000, cache_tp = 25201.812, core_tp = 599.662
  ??? #0 @ 23518.214 ms: miss_ratio = 0.04459, load_admit = 1.000, cache_tp = 23797.059, core_tp = 855.894
  ??? #0 @ 24018.267 ms: miss_ratio = 0.04392, load_admit = 1.000, cache_tp = 10918.849, core_tp = 359.962
  ??? #0 @ 24518.791 ms: miss_ratio = 0.04314, load_admit = 1.000, cache_tp = 21169.809, core_tp = 607.363
  ??? #0 @ 25019.352 ms: miss_ratio = 0.04223, load_admit = 1.000, cache_tp = 39939.210, core_tp = 583.346
  ??? #0 @ 25519.621 ms: miss_ratio = 0.04128, load_admit = 1.000, cache_tp = 40042.418, core_tp = 447.759
  ??? #0 @ 26019.763 ms: miss_ratio = 0.04028, load_admit = 1.000, cache_tp = 38173.193, core_tp = 311.912
  ??? #0 @ 26520.369 ms: miss_ratio = 0.03962, load_admit = 1.000, cache_tp = 18785.210, core_tp = 719.128
  ??? #0 @ 27020.429 ms: miss_ratio = 0.03892, load_admit = 1.000, cache_tp = 30108.415, core_tp = 311.963
  ??? #0 @ 27520.675 ms: miss_ratio = 0.03828, load_admit = 1.000, cache_tp = 17255.521, core_tp = 127.937
  ??? #0 @ 28021.291 ms: miss_ratio = 0.03763, load_admit = 1.000, cache_tp = 30394.519, core_tp = 591.271
  ??? #0 @ 28521.941 ms: miss_ratio = 0.03700, load_admit = 1.000, cache_tp = 19398.800, core_tp = 327.574
  ??? #0 @ 29022.182 ms: miss_ratio = 0.03628, load_admit = 1.000, cache_tp = 28490.271, core_tp = 375.819
  ??? #0 @ 29522.245 ms: miss_ratio = 0.03557, load_admit = 1.000, cache_tp = 27620.511, core_tp = 351.956

Start the experiment... (30 - 60 secs)

  ... #300 @ 30022.499 ms: miss_ratio = 0.03511, load_admit = 1.000, cache_tp = 20853.421, core_tp = 327.834
  ... #7400 @ 30522.503 ms: miss_ratio = 0.03454, load_admit = 1.000, cache_tp = 30919.752, core_tp = 303.998
  ... #14510 @ 31022.814 ms: miss_ratio = 0.03391, load_admit = 1.000, cache_tp = 30261.132, core_tp = 583.636
