
Main setup parameters:

  Using cache mode: wa
  Cache 1/8 capacity: 33554432 bytes
  Core 1/8 capacity: 33554432 bytes
  FlashSim page size: 4096 bytes
  FlashSim enable data: false

Experiment parameters:

  Intensity: 16000 4KiB-Reqs/s
  Reads percentage: 95%
  Approx hit ratio: 95%

Begin stabilizing stage... (0 - 15 secs)

  *** #0 @ 500.053 ms: miss_ratio = 0.88288, load_admit = 1.000, cache_tp = 127.986, core_tp = 29900.811
  *** #0 @ 1000.625 ms: miss_ratio = 0.75668, load_admit = 1.000, cache_tp = 415.525, core_tp = 8046.795
  *** #0 @ 1501.344 ms: miss_ratio = 0.68176, load_admit = 1.000, cache_tp = 663.046, core_tp = 16464.318
  *** #0 @ 2001.835 ms: miss_ratio = 0.54817, load_admit = 1.000, cache_tp = 1134.886, core_tp = 0.000
  *** #0 @ 2502.384 ms: miss_ratio = 0.47902, load_admit = 1.000, cache_tp = 303.667, core_tp = 14472.114
  *** #0 @ 3002.755 ms: miss_ratio = 0.41087, load_admit = 1.000, cache_tp = 1422.945, core_tp = 1982.530
  *** #0 @ 3503.181 ms: miss_ratio = 0.36398, load_admit = 1.000, cache_tp = 303.741, core_tp = 1095.066
  *** #0 @ 4004.030 ms: miss_ratio = 0.30983, load_admit = 1.000, cache_tp = 678.848, core_tp = 1413.601
  *** #0 @ 4504.379 ms: miss_ratio = 0.27861, load_admit = 1.000, cache_tp = 263.816, core_tp = 863.397
  *** #0 @ 5005.154 ms: miss_ratio = 0.21224, load_admit = 1.000, cache_tp = 18028.067, core_tp = 3322.852
  *** #0 @ 5505.629 ms: miss_ratio = 0.18518, load_admit = 1.000, cache_tp = 2693.439, core_tp = 1710.374
  *** #0 @ 6006.277 ms: miss_ratio = 0.16586, load_admit = 1.000, cache_tp = 26533.621, core_tp = 655.151
  *** #0 @ 6506.488 ms: miss_ratio = 0.15332, load_admit = 1.000, cache_tp = 1903.199, core_tp = 3214.647
  *** #0 @ 7006.506 ms: miss_ratio = 0.13688, load_admit = 1.000, cache_tp = 2199.918, core_tp = 1895.930
  *** #0 @ 7506.511 ms: miss_ratio = 0.12669, load_admit = 1.000, cache_tp = 8223.913, core_tp = 1631.983
  *** #0 @ 8006.544 ms: miss_ratio = 0.11864, load_admit = 1.000, cache_tp = 27318.226, core_tp = 1359.912
  *** #0 @ 8506.845 ms: miss_ratio = 0.11253, load_admit = 1.000, cache_tp = 36458.007, core_tp = 1207.272
  *** #0 @ 9007.265 ms: miss_ratio = 0.10758, load_admit = 1.000, cache_tp = 37736.332, core_tp = 2230.129
  *** #0 @ 9507.862 ms: miss_ratio = 0.10219, load_admit = 1.000, cache_tp = 35485.606, core_tp = 0.000
  *** #0 @ 10008.548 ms: miss_ratio = 0.09813, load_admit = 1.000, cache_tp = 37524.512, core_tp = 1605.797
  *** #0 @ 10508.721 ms: miss_ratio = 0.09479, load_admit = 1.000, cache_tp = 23207.981, core_tp = 1079.627
  *** #0 @ 11009.411 ms: miss_ratio = 0.09108, load_admit = 1.000, cache_tp = 30062.538, core_tp = 1134.435
  *** #0 @ 11509.777 ms: miss_ratio = 0.08716, load_admit = 1.000, cache_tp = 31720.784, core_tp = 4852.448
  *** #0 @ 12009.900 ms: miss_ratio = 0.08465, load_admit = 1.000, cache_tp = 39422.269, core_tp = 0.000
  *** #0 @ 12510.518 ms: miss_ratio = 0.08230, load_admit = 1.000, cache_tp = 40046.497, core_tp = 8389.629
  *** #0 @ 13010.988 ms: miss_ratio = 0.07985, load_admit = 1.000, cache_tp = 40082.346, core_tp = 4172.081
  *** #0 @ 13511.042 ms: miss_ratio = 0.07675, load_admit = 1.000, cache_tp = 39715.712, core_tp = 0.000
  *** #0 @ 14011.574 ms: miss_ratio = 0.07337, load_admit = 1.000, cache_tp = 30455.609, core_tp = 767.184
  *** #0 @ 14511.623 ms: miss_ratio = 0.07091, load_admit = 1.000, cache_tp = 15454.485, core_tp = 8463.170

Measuring delta overhead... (15 - 30 secs)

  ??? #0 @ 15012.030 ms: miss_ratio = 0.06817, load_admit = 1.000, cache_tp = 22797.421, core_tp = 5195.766
  ??? #0 @ 15512.208 ms: miss_ratio = 0.06578, load_admit = 1.000, cache_tp = 24455.327, core_tp = 1143.594
  ??? #0 @ 16012.271 ms: miss_ratio = 0.06352, load_admit = 1.000, cache_tp = 21853.208, core_tp = 3527.549
  ??? #0 @ 16512.753 ms: miss_ratio = 0.06144, load_admit = 1.000, cache_tp = 27773.224, core_tp = 2373.712
  ??? #0 @ 17012.757 ms: miss_ratio = 0.05935, load_admit = 1.000, cache_tp = 39167.702, core_tp = 0.000
  ??? #0 @ 17513.218 ms: miss_ratio = 0.05729, load_admit = 1.000, cache_tp = 27063.052, core_tp = 343.683
  ??? #0 @ 18013.447 ms: miss_ratio = 0.05579, load_admit = 1.000, cache_tp = 11714.629, core_tp = 3494.398
  ??? #0 @ 18513.879 ms: miss_ratio = 0.05415, load_admit = 1.000, cache_tp = 16377.877, core_tp = 1174.987
  ??? #0 @ 19014.600 ms: miss_ratio = 0.05229, load_admit = 1.000, cache_tp = 24732.291, core_tp = 6534.565
  ??? #0 @ 19514.881 ms: miss_ratio = 0.05115, load_admit = 1.000, cache_tp = 13048.689, core_tp = 0.000
  ??? #0 @ 20015.324 ms: miss_ratio = 0.04997, load_admit = 1.000, cache_tp = 18751.362, core_tp = 3964.482
  ??? #0 @ 20515.705 ms: miss_ratio = 0.04884, load_admit = 1.000, cache_tp = 27227.250, core_tp = 2374.191
  ??? #0 @ 21015.863 ms: miss_ratio = 0.04787, load_admit = 1.000, cache_tp = 28862.885, core_tp = 2319.268
  ??? #0 @ 21515.958 ms: miss_ratio = 0.04683, load_admit = 1.000, cache_tp = 39248.538, core_tp = 751.857
  ??? #0 @ 22016.603 ms: miss_ratio = 0.04589, load_admit = 1.000, cache_tp = 27101.045, core_tp = 2748.455
  ??? #0 @ 22517.055 ms: miss_ratio = 0.04515, load_admit = 1.000, cache_tp = 14059.298, core_tp = 111.899
  ??? #0 @ 23017.786 ms: miss_ratio = 0.04426, load_admit = 1.000, cache_tp = 40333.000, core_tp = 2532.296
  ??? #0 @ 23518.111 ms: miss_ratio = 0.04330, load_admit = 1.000, cache_tp = 38878.780, core_tp = 0.000
  ??? #0 @ 24018.462 ms: miss_ratio = 0.04225, load_admit = 1.000, cache_tp = 38109.207, core_tp = 79.944
  ??? #0 @ 24519.123 ms: miss_ratio = 0.04130, load_admit = 1.000, cache_tp = 37198.825, core_tp = 2396.832
  ??? #0 @ 25019.658 ms: miss_ratio = 0.04068, load_admit = 1.000, cache_tp = 38758.553, core_tp = 831.111
  ??? #0 @ 25520.009 ms: miss_ratio = 0.04001, load_admit = 1.000, cache_tp = 37509.681, core_tp = 2901.964
  ??? #0 @ 26020.608 ms: miss_ratio = 0.03933, load_admit = 1.000, cache_tp = 37842.608, core_tp = 1614.064
  ??? #0 @ 26520.799 ms: miss_ratio = 0.03865, load_admit = 1.000, cache_tp = 38489.328, core_tp = 3614.622
  ??? #0 @ 27021.392 ms: miss_ratio = 0.03801, load_admit = 1.000, cache_tp = 29373.141, core_tp = 5249.770
  ??? #0 @ 27522.123 ms: miss_ratio = 0.03724, load_admit = 1.000, cache_tp = 37792.791, core_tp = 2963.671
  ??? #0 @ 28022.225 ms: miss_ratio = 0.03662, load_admit = 1.000, cache_tp = 22739.354, core_tp = 2943.399
  ??? #0 @ 28522.545 ms: miss_ratio = 0.03584, load_admit = 1.000, cache_tp = 26415.074, core_tp = 2078.668
  ??? #0 @ 29023.280 ms: miss_ratio = 0.03525, load_admit = 1.000, cache_tp = 38655.201, core_tp = 0.000
  ??? #0 @ 29523.594 ms: miss_ratio = 0.03459, load_admit = 1.000, cache_tp = 22114.121, core_tp = 551.654

Start the experiment... (30 - 60 secs)

  ... #320 @ 30023.894 ms: miss_ratio = 0.03387, load_admit = 1.000, cache_tp = 32340.598, core_tp = 6028.383
  ... #7660 @ 30524.040 ms: miss_ratio = 0.03341, load_admit = 1.000, cache_tp = 15459.475, core_tp = 983.712
  ... #14990 @ 31024.266 ms: miss_ratio = 0.03281, load_admit = 1.000, cache_tp = 22989.618, core_tp = 3526.408
