
Main setup parameters:

  Using cache mode: wt
  Cache 1/8 capacity: 33554432 bytes
  Core 1/8 capacity: 33554432 bytes
  FlashSim page size: 4096 bytes
  FlashSim enable data: false

Experiment parameters:

  Intensity: 19000 4KiB-Reqs/s
  Reads percentage: 50%
  Approx hit ratio: 95%

Begin stabilizing stage... (0 - 15 secs)

  *** #0 @ 500.725 ms: miss_ratio = 0.97084, load_admit = 1.000, cache_tp = 2692.094, core_tp = 1677.566
  *** #0 @ 1001.002 ms: miss_ratio = 0.88478, load_admit = 1.000, cache_tp = 3366.136, core_tp = 4357.587
  *** #0 @ 1501.456 ms: miss_ratio = 0.86373, load_admit = 1.000, cache_tp = 1230.884, core_tp = 39.964
  *** #0 @ 2001.882 ms: miss_ratio = 0.83163, load_admit = 1.000, cache_tp = 4404.242, core_tp = 807.311
  *** #0 @ 2502.313 ms: miss_ratio = 0.82173, load_admit = 1.000, cache_tp = 7409.619, core_tp = 0.000
  *** #0 @ 3002.460 ms: miss_ratio = 0.72009, load_admit = 1.000, cache_tp = 7149.894, core_tp = 2767.185
  *** #0 @ 3502.813 ms: miss_ratio = 0.65187, load_admit = 1.000, cache_tp = 943.334, core_tp = 3573.478
  *** #0 @ 4003.417 ms: miss_ratio = 0.63587, load_admit = 1.000, cache_tp = 1430.272, core_tp = 103.875
  *** #0 @ 4504.051 ms: miss_ratio = 0.63250, load_admit = 1.000, cache_tp = 1717.822, core_tp = 0.000
  *** #0 @ 5004.182 ms: miss_ratio = 0.61361, load_admit = 1.000, cache_tp = 10709.187, core_tp = 527.861
  *** #0 @ 5504.840 ms: miss_ratio = 0.57760, load_admit = 1.000, cache_tp = 5480.788, core_tp = 910.802
  *** #0 @ 6005.400 ms: miss_ratio = 0.55803, load_admit = 1.000, cache_tp = 7679.396, core_tp = 1686.111
  *** #0 @ 6505.653 ms: miss_ratio = 0.48980, load_admit = 1.000, cache_tp = 13857.006, core_tp = 3630.168
  *** #0 @ 7005.828 ms: miss_ratio = 0.48758, load_admit = 1.000, cache_tp = 4958.267, core_tp = 0.000
  *** #0 @ 7506.417 ms: miss_ratio = 0.47634, load_admit = 1.000, cache_tp = 942.888, core_tp = 910.926
  *** #0 @ 8006.690 ms: miss_ratio = 0.44711, load_admit = 1.000, cache_tp = 4917.312, core_tp = 1583.135
  *** #0 @ 8506.947 ms: miss_ratio = 0.43458, load_admit = 1.000, cache_tp = 4925.468, core_tp = 1191.387
  *** #0 @ 9007.325 ms: miss_ratio = 0.42819, load_admit = 1.000, cache_tp = 1854.600, core_tp = 1031.222
  *** #0 @ 9507.744 ms: miss_ratio = 0.39904, load_admit = 1.000, cache_tp = 5283.574, core_tp = 2781.670
  *** #0 @ 10007.828 ms: miss_ratio = 0.35816, load_admit = 1.000, cache_tp = 10614.216, core_tp = 3919.341
  *** #0 @ 10508.374 ms: miss_ratio = 0.33437, load_admit = 1.000, cache_tp = 6377.029, core_tp = 1198.690
  *** #0 @ 11008.958 ms: miss_ratio = 0.32967, load_admit = 1.000, cache_tp = 3044.445, core_tp = 0.000
  *** #0 @ 11509.481 ms: miss_ratio = 0.31655, load_admit = 1.000, cache_tp = 3476.361, core_tp = 143.849
  *** #0 @ 12009.579 ms: miss_ratio = 0.30991, load_admit = 1.000, cache_tp = 1639.680, core_tp = 79.984
  *** #0 @ 12509.874 ms: miss_ratio = 0.30923, load_admit = 1.000, cache_tp = 6875.942, core_tp = 0.000
  *** #0 @ 13010.069 ms: miss_ratio = 0.30044, load_admit = 1.000, cache_tp = 9468.301, core_tp = 0.000
  *** #0 @ 13510.623 ms: miss_ratio = 0.28895, load_admit = 1.000, cache_tp = 8278.837, core_tp = 15.982
  *** #0 @ 14010.681 ms: miss_ratio = 0.28753, load_admit = 1.000, cache_tp = 16110.112, core_tp = 0.000
  *** #0 @ 14510.708 ms: miss_ratio = 0.28225, load_admit = 1.000, cache_tp = 12943.315, core_tp = 0.000

Measuring delta overhead... (15 - 30 secs)

  ??? #0 @ 15010.782 ms: miss_ratio = 0.27440, load_admit = 1.000, cache_tp = 887.868, core_tp = 23.996
  ??? #0 @ 15511.215 ms: miss_ratio = 0.27440, load_admit = 1.000, cache_tp = 7289.692, core_tp = 0.000
  ??? #0 @ 16011.282 ms: miss_ratio = 0.26625, load_admit = 1.000, cache_tp = 1767.763, core_tp = 63.991
  ??? #0 @ 16511.675 ms: miss_ratio = 0.26282, load_admit = 1.000, cache_tp = 4164.728, core_tp = 15.987
  ??? #0 @ 17011.843 ms: miss_ratio = 0.25718, load_admit = 1.000, cache_tp = 5470.165, core_tp = 23.992
  ??? #0 @ 17512.024 ms: miss_ratio = 0.25419, load_admit = 1.000, cache_tp = 7973.109, core_tp = 7.997
  ??? #0 @ 18012.390 ms: miss_ratio = 0.25419, load_admit = 1.000, cache_tp = 8561.733, core_tp = 0.000
  ??? #0 @ 18512.536 ms: miss_ratio = 0.25194, load_admit = 1.000, cache_tp = 10548.930, core_tp = 0.000
  ??? #0 @ 19012.941 ms: miss_ratio = 0.24838, load_admit = 1.000, cache_tp = 6882.423, core_tp = 15.987
  ??? #0 @ 19513.164 ms: miss_ratio = 0.24400, load_admit = 1.000, cache_tp = 5133.708, core_tp = 15.993
  ??? #0 @ 20013.325 ms: miss_ratio = 0.24006, load_admit = 1.000, cache_tp = 735.764, core_tp = 47.985
  ??? #0 @ 20513.385 ms: miss_ratio = 0.23934, load_admit = 1.000, cache_tp = 1151.862, core_tp = 7.999
  ??? #0 @ 21013.817 ms: miss_ratio = 0.23838, load_admit = 1.000, cache_tp = 5091.597, core_tp = 7.993
  ??? #0 @ 21513.958 ms: miss_ratio = 0.23410, load_admit = 1.000, cache_tp = 3439.030, core_tp = 15.995
  ??? #0 @ 22014.309 ms: miss_ratio = 0.23207, load_admit = 1.000, cache_tp = 3557.501, core_tp = 23.983
  ??? #0 @ 22514.451 ms: miss_ratio = 0.23091, load_admit = 1.000, cache_tp = 1535.566, core_tp = 23.993
  ??? #0 @ 23014.861 ms: miss_ratio = 0.22608, load_admit = 1.000, cache_tp = 5915.146, core_tp = 55.954
  ??? #0 @ 23515.008 ms: miss_ratio = 0.22604, load_admit = 1.000, cache_tp = 31.991, core_tp = 0.000
  ??? #0 @ 24015.595 ms: miss_ratio = 0.22421, load_admit = 1.000, cache_tp = 2189.432, core_tp = 7.991
  ??? #0 @ 24516.205 ms: miss_ratio = 0.22351, load_admit = 1.000, cache_tp = 894.907, core_tp = 7.990
  ??? #0 @ 25016.855 ms: miss_ratio = 0.21995, load_admit = 1.000, cache_tp = 5129.338, core_tp = 79.896
  ??? #0 @ 25517.407 ms: miss_ratio = 0.21858, load_admit = 1.000, cache_tp = 1901.901, core_tp = 31.965
  ??? #0 @ 26018.032 ms: miss_ratio = 0.21035, load_admit = 1.000, cache_tp = 7966.036, core_tp = 87.890
  ??? #0 @ 26518.543 ms: miss_ratio = 0.20853, load_admit = 1.000, cache_tp = 5969.895, core_tp = 23.975
  ??? #0 @ 27018.938 ms: miss_ratio = 0.20853, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ??? #0 @ 27519.290 ms: miss_ratio = 0.20476, load_admit = 1.000, cache_tp = 5532.102, core_tp = 47.966
  ??? #0 @ 28020.034 ms: miss_ratio = 0.20431, load_admit = 1.000, cache_tp = 694.966, core_tp = 0.000
  ??? #0 @ 28520.237 ms: miss_ratio = 0.20249, load_admit = 1.000, cache_tp = 2638.929, core_tp = 0.000
  ??? #0 @ 29020.280 ms: miss_ratio = 0.20226, load_admit = 1.000, cache_tp = 367.968, core_tp = 15.999
  ??? #0 @ 29520.473 ms: miss_ratio = 0.18868, load_admit = 1.000, cache_tp = 7221.213, core_tp = 247.904

Start the experiment... (30 - 60 secs)

  ... #300 @ 30020.821 ms: miss_ratio = 0.18868, load_admit = 1.000, cache_tp = 4724.708, core_tp = 0.000
  ... #8540 @ 30521.155 ms: miss_ratio = 0.18671, load_admit = 1.000, cache_tp = 7123.250, core_tp = 31.979
  ... #16820 @ 31021.527 ms: miss_ratio = 0.18526, load_admit = 1.000, cache_tp = 1159.137, core_tp = 39.970
