
Main setup parameters:

  Using cache mode: mfwa
  Cache 1/8 capacity: 33554432 bytes
  Core 1/8 capacity: 33554432 bytes
  FlashSim page size: 4096 bytes
  FlashSim enable data: false

Experiment parameters:

  Intensity: 20000 4KiB-Reqs/s
  Reads percentage: 50%
  Approx hit ratio: 80%

Begin stabilizing stage... (0 - 15 secs)

  *** #0 @ 500.131 ms: miss_ratio = 0.97833, load_admit = 0.990, cache_tp = 783.795, core_tp = 2919.235
  *** #0 @ 1000.165 ms: miss_ratio = 0.95995, load_admit = 0.970, cache_tp = 623.958, core_tp = 4767.679
  *** #0 @ 1500.677 ms: miss_ratio = 0.94751, load_admit = 0.960, cache_tp = 3308.609, core_tp = 1662.296
  *** #0 @ 2001.150 ms: miss_ratio = 0.94341, load_admit = 0.930, cache_tp = 2189.929, core_tp = 151.856
  *** #0 @ 2501.417 ms: miss_ratio = 0.94073, load_admit = 0.920, cache_tp = 1990.937, core_tp = 1503.198
  *** #0 @ 3001.939 ms: miss_ratio = 0.93750, load_admit = 0.950, cache_tp = 2157.745, core_tp = 1878.038
  *** #0 @ 3502.144 ms: miss_ratio = 0.92052, load_admit = 0.900, cache_tp = 6565.308, core_tp = 7516.917
  *** #0 @ 4002.648 ms: miss_ratio = 0.92345, load_admit = 0.900, cache_tp = 1198.792, core_tp = 511.485
  *** #0 @ 4503.025 ms: miss_ratio = 0.91701, load_admit = 0.890, cache_tp = 3988.990, core_tp = 4196.833
  *** #0 @ 5003.281 ms: miss_ratio = 0.91191, load_admit = 0.850, cache_tp = 119.939, core_tp = 4613.642
  *** #0 @ 5503.739 ms: miss_ratio = 0.91331, load_admit = 0.880, cache_tp = 4547.834, core_tp = 255.766
  *** #0 @ 6004.285 ms: miss_ratio = 0.91530, load_admit = 0.860, cache_tp = 1638.211, core_tp = 447.511
  *** #0 @ 6504.928 ms: miss_ratio = 0.91406, load_admit = 0.870, cache_tp = 2245.113, core_tp = 3731.203
  *** #0 @ 7005.487 ms: miss_ratio = 0.91634, load_admit = 0.810, cache_tp = 207.768, core_tp = 1782.007
  *** #0 @ 7505.493 ms: miss_ratio = 0.91811, load_admit = 0.860, cache_tp = 183.998, core_tp = 3895.952
  *** #0 @ 8005.619 ms: miss_ratio = 0.91996, load_admit = 0.820, cache_tp = 127.968, core_tp = 5718.559
  *** #0 @ 8506.229 ms: miss_ratio = 0.92174, load_admit = 0.840, cache_tp = 55.932, core_tp = 1006.772
  *** #0 @ 9006.819 ms: miss_ratio = 0.92354, load_admit = 0.840, cache_tp = 55.934, core_tp = 1829.840
  *** #0 @ 9507.417 ms: miss_ratio = 0.92455, load_admit = 0.840, cache_tp = 15.981, core_tp = 0.000
  *** #0 @ 10008.003 ms: miss_ratio = 0.92417, load_admit = 0.810, cache_tp = 679.204, core_tp = 7559.138
  *** #0 @ 10508.618 ms: miss_ratio = 0.92456, load_admit = 0.800, cache_tp = 23.971, core_tp = 455.440
  *** #0 @ 11008.800 ms: miss_ratio = 0.92520, load_admit = 0.760, cache_tp = 119.956, core_tp = 3470.735
  *** #0 @ 11509.226 ms: miss_ratio = 0.92515, load_admit = 0.760, cache_tp = 103.912, core_tp = 1470.749
  *** #0 @ 12009.574 ms: miss_ratio = 0.92476, load_admit = 0.760, cache_tp = 23.983, core_tp = 2150.501
  *** #0 @ 12509.970 ms: miss_ratio = 0.92445, load_admit = 0.730, cache_tp = 31.975, core_tp = 2997.629
  *** #0 @ 13010.090 ms: miss_ratio = 0.92426, load_admit = 0.710, cache_tp = 39.990, core_tp = 7766.122
  *** #0 @ 13510.150 ms: miss_ratio = 0.92192, load_admit = 0.720, cache_tp = 1919.771, core_tp = 4407.474
  *** #0 @ 14010.330 ms: miss_ratio = 0.92162, load_admit = 0.680, cache_tp = 119.957, core_tp = 3894.602
  *** #0 @ 14510.820 ms: miss_ratio = 0.92067, load_admit = 0.680, cache_tp = 303.702, core_tp = 6657.476

Measuring delta overhead... (15 - 30 secs)

  ??? #0 @ 15011.417 ms: miss_ratio = 0.91983, load_admit = 0.670, cache_tp = 0.000, core_tp = 0.000
  ??? #0 @ 15511.785 ms: miss_ratio = 0.91968, load_admit = 0.690, cache_tp = 15.988, core_tp = 903.335
  ??? #0 @ 16012.261 ms: miss_ratio = 0.91878, load_admit = 0.650, cache_tp = 135.871, core_tp = 2789.345
  ??? #0 @ 16512.577 ms: miss_ratio = 0.91788, load_admit = 0.660, cache_tp = 71.955, core_tp = 1287.186
  ??? #0 @ 17013.021 ms: miss_ratio = 0.91742, load_admit = 0.640, cache_tp = 103.908, core_tp = 1510.658
  ??? #0 @ 17513.691 ms: miss_ratio = 0.91674, load_admit = 0.630, cache_tp = 231.689, core_tp = 1166.437
  ??? #0 @ 18014.171 ms: miss_ratio = 0.91613, load_admit = 0.650, cache_tp = 0.000, core_tp = 0.000
  ??? #0 @ 18514.451 ms: miss_ratio = 0.91448, load_admit = 0.620, cache_tp = 1127.368, core_tp = 22507.389
  ??? #0 @ 19014.631 ms: miss_ratio = 0.91382, load_admit = 0.640, cache_tp = 0.000, core_tp = 0.000
  ??? #0 @ 19515.056 ms: miss_ratio = 0.91318, load_admit = 0.610, cache_tp = 71.939, core_tp = 3293.201
  ??? #0 @ 20015.431 ms: miss_ratio = 0.91251, load_admit = 0.620, cache_tp = 191.856, core_tp = 9025.236
  ??? #0 @ 20515.451 ms: miss_ratio = 0.91192, load_admit = 0.590, cache_tp = 287.988, core_tp = 2447.902
  ??? #0 @ 21015.774 ms: miss_ratio = 0.91121, load_admit = 0.590, cache_tp = 111.928, core_tp = 1678.915
  ??? #0 @ 21516.209 ms: miss_ratio = 0.91063, load_admit = 0.590, cache_tp = 31.972, core_tp = 871.241
  ??? #0 @ 22016.665 ms: miss_ratio = 0.90982, load_admit = 0.580, cache_tp = 0.000, core_tp = 0.000
  ??? #0 @ 22517.030 ms: miss_ratio = 0.90895, load_admit = 0.560, cache_tp = 71.948, core_tp = 2558.135
  ??? #0 @ 23017.357 ms: miss_ratio = 0.90839, load_admit = 0.560, cache_tp = 71.953, core_tp = 3197.906
  ??? #0 @ 23517.495 ms: miss_ratio = 0.90770, load_admit = 0.560, cache_tp = 55.985, core_tp = 2415.338
  ??? #0 @ 24017.580 ms: miss_ratio = 0.90706, load_admit = 0.550, cache_tp = 7.999, core_tp = 1047.820
  ??? #0 @ 24517.923 ms: miss_ratio = 0.90643, load_admit = 0.540, cache_tp = 15.989, core_tp = 1830.745
  ??? #0 @ 25018.258 ms: miss_ratio = 0.90568, load_admit = 0.570, cache_tp = 159.893, core_tp = 7371.059
  ??? #0 @ 25518.755 ms: miss_ratio = 0.90437, load_admit = 0.530, cache_tp = 1310.698, core_tp = 13154.932
  ??? #0 @ 26018.940 ms: miss_ratio = 0.90364, load_admit = 0.550, cache_tp = 0.000, core_tp = 0.000
  ??? #0 @ 26519.117 ms: miss_ratio = 0.90299, load_admit = 0.550, cache_tp = 63.977, core_tp = 55.980
  ??? #0 @ 27019.154 ms: miss_ratio = 0.90210, load_admit = 0.540, cache_tp = 399.971, core_tp = 3263.761
  ??? #0 @ 27519.475 ms: miss_ratio = 0.90137, load_admit = 0.530, cache_tp = 143.908, core_tp = 6355.916
  ??? #0 @ 28019.884 ms: miss_ratio = 0.90031, load_admit = 0.520, cache_tp = 1518.759, core_tp = 4380.420
  ??? #0 @ 28520.438 ms: miss_ratio = 0.89967, load_admit = 0.490, cache_tp = 39.956, core_tp = 2405.336
  ??? #0 @ 29020.814 ms: miss_ratio = 0.89884, load_admit = 0.490, cache_tp = 103.922, core_tp = 4116.904
  ??? #0 @ 29521.496 ms: miss_ratio = 0.89799, load_admit = 0.490, cache_tp = 215.706, core_tp = 7869.267

Start the experiment... (30 - 60 secs)

  ... #350 @ 30021.737 ms: miss_ratio = 0.89740, load_admit = 0.480, cache_tp = 31.985, core_tp = 1991.038
