
Main setup parameters:

  Using cache mode: mfwb
  Cache 1/8 capacity: 33554432 bytes
  Core 1/8 capacity: 33554432 bytes
  FlashSim page size: 4096 bytes
  FlashSim enable data: false

Experiment parameters:

  Intensity: 21000 4KiB-Reqs/s
  Reads percentage: 0%
  Approx hit ratio: 80%

Begin stabilizing stage... (0 - 15 secs)

  *** #0 @ 500.541 ms: miss_ratio = 0.00000, load_admit = 1.000, cache_tp = 2533.257, core_tp = 0.000
  *** #0 @ 1000.878 ms: miss_ratio = 0.00000, load_admit = 0.990, cache_tp = 783.472, core_tp = 0.000
  *** #0 @ 1501.223 ms: miss_ratio = 0.00000, load_admit = 1.000, cache_tp = 1007.306, core_tp = 0.000
  *** #0 @ 2001.554 ms: miss_ratio = 0.00000, load_admit = 0.990, cache_tp = 215.857, core_tp = 0.000
  *** #0 @ 2501.967 ms: miss_ratio = 0.00000, load_admit = 1.000, cache_tp = 18065.081, core_tp = 151.875
  *** #0 @ 3002.008 ms: miss_ratio = 0.00000, load_admit = 0.960, cache_tp = 33501.227, core_tp = 191.984
  *** #0 @ 3502.521 ms: miss_ratio = 0.00000, load_admit = 0.960, cache_tp = 7184.624, core_tp = 151.844
  *** #0 @ 4002.787 ms: miss_ratio = 0.00000, load_admit = 0.970, cache_tp = 583.690, core_tp = 71.962
  *** #0 @ 4503.451 ms: miss_ratio = 0.00000, load_admit = 0.940, cache_tp = 527.300, core_tp = 7.989
  *** #0 @ 5003.595 ms: miss_ratio = 0.00000, load_admit = 0.950, cache_tp = 479.862, core_tp = 31.991
  *** #0 @ 5503.820 ms: miss_ratio = 0.00000, load_admit = 0.950, cache_tp = 607.726, core_tp = 15.993
  *** #0 @ 6004.055 ms: miss_ratio = 0.00000, load_admit = 0.950, cache_tp = 703.669, core_tp = 31.985
  *** #0 @ 6504.555 ms: miss_ratio = 0.00000, load_admit = 0.920, cache_tp = 503.496, core_tp = 7.992
  *** #0 @ 7004.933 ms: miss_ratio = 0.00000, load_admit = 0.900, cache_tp = 271.795, core_tp = 7.994
  *** #0 @ 7505.568 ms: miss_ratio = 0.00000, load_admit = 0.900, cache_tp = 854.914, core_tp = 15.980
  *** #0 @ 8005.898 ms: miss_ratio = 0.00000, load_admit = 0.900, cache_tp = 791.479, core_tp = 7.995
  *** #0 @ 8506.572 ms: miss_ratio = 0.00000, load_admit = 0.870, cache_tp = 439.407, core_tp = 0.000
  *** #0 @ 9006.713 ms: miss_ratio = 0.00000, load_admit = 0.870, cache_tp = 727.795, core_tp = 7.998
  *** #0 @ 9506.854 ms: miss_ratio = 0.00000, load_admit = 0.860, cache_tp = 887.750, core_tp = 0.000
  *** #0 @ 10007.305 ms: miss_ratio = 0.00000, load_admit = 0.850, cache_tp = 22891.347, core_tp = 231.791
  *** #0 @ 10507.525 ms: miss_ratio = 0.00000, load_admit = 0.840, cache_tp = 26660.276, core_tp = 535.764
  *** #0 @ 11008.215 ms: miss_ratio = 0.00000, load_admit = 0.820, cache_tp = 8332.503, core_tp = 223.691
  *** #0 @ 11508.280 ms: miss_ratio = 0.00000, load_admit = 0.790, cache_tp = 935.879, core_tp = 23.997
  *** #0 @ 12008.482 ms: miss_ratio = 0.00000, load_admit = 0.790, cache_tp = 191.922, core_tp = 15.994
  *** #0 @ 12508.813 ms: miss_ratio = 0.00000, load_admit = 0.770, cache_tp = 535.645, core_tp = 15.989
  *** #0 @ 13009.084 ms: miss_ratio = 0.00000, load_admit = 0.770, cache_tp = 695.624, core_tp = 23.987
  *** #0 @ 13509.483 ms: miss_ratio = 0.00000, load_admit = 0.740, cache_tp = 735.412, core_tp = 15.987
  *** #0 @ 14009.606 ms: miss_ratio = 0.00000, load_admit = 0.740, cache_tp = 319.922, core_tp = 7.998
  *** #0 @ 14509.720 ms: miss_ratio = 0.00000, load_admit = 0.720, cache_tp = 479.891, core_tp = 15.996

Measuring delta overhead... (15 - 30 secs)

  ??? #0 @ 15010.041 ms: miss_ratio = 0.00000, load_admit = 0.720, cache_tp = 855.450, core_tp = 0.000
  ??? #0 @ 15510.677 ms: miss_ratio = 0.00000, load_admit = 0.720, cache_tp = 790.995, core_tp = 7.990
  ??? #0 @ 16011.090 ms: miss_ratio = 0.00000, load_admit = 0.690, cache_tp = 439.636, core_tp = 7.993
  ??? #0 @ 16511.635 ms: miss_ratio = 0.00000, load_admit = 0.670, cache_tp = 727.208, core_tp = 23.974
  ??? #0 @ 17012.033 ms: miss_ratio = 0.00000, load_admit = 0.670, cache_tp = 887.294, core_tp = 15.987
  ??? #0 @ 17512.701 ms: miss_ratio = 0.00000, load_admit = 0.740, cache_tp = 26013.274, core_tp = 567.243
  ??? #0 @ 18013.020 ms: miss_ratio = 0.00000, load_admit = 0.770, cache_tp = 30444.562, core_tp = 927.408
  ??? #0 @ 18513.228 ms: miss_ratio = 0.00000, load_admit = 0.780, cache_tp = 1879.219, core_tp = 39.983
  ??? #0 @ 19013.708 ms: miss_ratio = 0.00000, load_admit = 0.780, cache_tp = 479.539, core_tp = 7.992
  ??? #0 @ 19513.805 ms: miss_ratio = 0.00000, load_admit = 0.760, cache_tp = 591.885, core_tp = 39.992
  ??? #0 @ 20014.135 ms: miss_ratio = 0.00000, load_admit = 0.730, cache_tp = 135.910, core_tp = 23.984
  ??? #0 @ 20514.564 ms: miss_ratio = 0.00000, load_admit = 0.730, cache_tp = 719.383, core_tp = 23.979
  ??? #0 @ 21014.795 ms: miss_ratio = 0.00000, load_admit = 0.710, cache_tp = 711.672, core_tp = 7.996
  ??? #0 @ 21515.236 ms: miss_ratio = 0.00000, load_admit = 0.710, cache_tp = 575.492, core_tp = 23.979
  ??? #0 @ 22015.573 ms: miss_ratio = 0.00000, load_admit = 0.690, cache_tp = 223.849, core_tp = 0.000
  ??? #0 @ 22515.640 ms: miss_ratio = 0.00000, load_admit = 0.670, cache_tp = 983.868, core_tp = 23.997
  ??? #0 @ 23016.021 ms: miss_ratio = 0.00000, load_admit = 0.650, cache_tp = 663.494, core_tp = 0.000
  ??? #0 @ 23516.599 ms: miss_ratio = 0.00000, load_admit = 0.640, cache_tp = 647.252, core_tp = 23.972
  ??? #0 @ 24016.739 ms: miss_ratio = 0.00000, load_admit = 0.620, cache_tp = 519.854, core_tp = 15.996
  ??? #0 @ 24516.957 ms: miss_ratio = 0.00000, load_admit = 0.560, cache_tp = 6045.365, core_tp = 135.941
  ??? #0 @ 25017.359 ms: miss_ratio = 0.00000, load_admit = 0.550, cache_tp = 32493.867, core_tp = 975.216
  ??? #0 @ 25517.666 ms: miss_ratio = 0.00000, load_admit = 0.530, cache_tp = 19915.772, core_tp = 167.897
  ??? #0 @ 26018.239 ms: miss_ratio = 0.00000, load_admit = 0.530, cache_tp = 910.956, core_tp = 263.698
  ??? #0 @ 26518.264 ms: miss_ratio = 0.00000, load_admit = 0.550, cache_tp = 391.980, core_tp = 247.988
  ??? #0 @ 27018.345 ms: miss_ratio = 0.00000, load_admit = 0.530, cache_tp = 663.893, core_tp = 15.997
  ??? #0 @ 27518.388 ms: miss_ratio = 0.00000, load_admit = 0.520, cache_tp = 679.941, core_tp = 47.996
  ??? #0 @ 28018.996 ms: miss_ratio = 0.00000, load_admit = 0.500, cache_tp = 79.903, core_tp = 0.000
  ??? #0 @ 28519.408 ms: miss_ratio = 0.00000, load_admit = 0.480, cache_tp = 847.302, core_tp = 23.980
  ??? #0 @ 29019.998 ms: miss_ratio = 0.00000, load_admit = 0.460, cache_tp = 591.302, core_tp = 7.991
  ??? #0 @ 29520.426 ms: miss_ratio = 0.00000, load_admit = 0.460, cache_tp = 623.466, core_tp = 47.959

Start the experiment... (30 - 60 secs)

  ... #370 @ 30020.517 ms: miss_ratio = 0.00000, load_admit = 0.460, cache_tp = 639.884, core_tp = 23.996
  ... #9580 @ 30521.059 ms: miss_ratio = 0.00000, load_admit = 0.430, cache_tp = 863.065, core_tp = 15.983
  ... #18810 @ 31021.505 ms: miss_ratio = 0.00000, load_admit = 0.410, cache_tp = 727.352, core_tp = 0.000
