
Main setup parameters:

  Using cache mode: mfwb
  Cache 1/8 capacity: 33554432 bytes
  Core 1/8 capacity: 33554432 bytes
  FlashSim page size: 4096 bytes
  FlashSim enable data: false

Experiment parameters:

  Intensity: 22000 4KiB-Reqs/s
  Reads percentage: 50%
  Approx hit ratio: 80%

Begin stabilizing stage... (0 - 15 secs)

  *** #0 @ 500.013 ms: miss_ratio = 0.94715, load_admit = 0.990, cache_tp = 1583.958, core_tp = 17919.524
  *** #0 @ 1000.114 ms: miss_ratio = 0.90709, load_admit = 0.980, cache_tp = 1031.793, core_tp = 10533.887
  *** #0 @ 1500.707 ms: miss_ratio = 0.85838, load_admit = 0.990, cache_tp = 1598.102, core_tp = 6576.189
  *** #0 @ 2001.157 ms: miss_ratio = 0.79355, load_admit = 1.000, cache_tp = 1990.212, core_tp = 3333.005
  *** #0 @ 2501.683 ms: miss_ratio = 0.73071, load_admit = 1.000, cache_tp = 2389.483, core_tp = 1622.291
  *** #0 @ 3001.719 ms: miss_ratio = 0.71536, load_admit = 1.000, cache_tp = 487.966, core_tp = 815.943
  *** #0 @ 3502.293 ms: miss_ratio = 0.66958, load_admit = 0.980, cache_tp = 2533.090, core_tp = 663.238
  *** #0 @ 4002.456 ms: miss_ratio = 0.60769, load_admit = 0.970, cache_tp = 3262.934, core_tp = 391.872
  *** #0 @ 4502.778 ms: miss_ratio = 0.57706, load_admit = 0.930, cache_tp = 1974.728, core_tp = 423.727
  *** #0 @ 5003.060 ms: miss_ratio = 0.53837, load_admit = 0.860, cache_tp = 5277.033, core_tp = 791.555
  *** #0 @ 5503.123 ms: miss_ratio = 0.47060, load_admit = 0.890, cache_tp = 12598.401, core_tp = 991.874
  *** #0 @ 6003.738 ms: miss_ratio = 0.42072, load_admit = 0.930, cache_tp = 12232.954, core_tp = 607.253
  *** #0 @ 6504.233 ms: miss_ratio = 0.40218, load_admit = 0.950, cache_tp = 4875.174, core_tp = 407.596
  *** #0 @ 7004.764 ms: miss_ratio = 0.39557, load_admit = 0.920, cache_tp = 1806.083, core_tp = 415.559
  *** #0 @ 7504.792 ms: miss_ratio = 0.38727, load_admit = 0.920, cache_tp = 1575.910, core_tp = 327.981
  *** #0 @ 8005.461 ms: miss_ratio = 0.38112, load_admit = 0.910, cache_tp = 2165.104, core_tp = 311.583
  *** #0 @ 8505.862 ms: miss_ratio = 0.37272, load_admit = 0.920, cache_tp = 4740.193, core_tp = 407.673
  *** #0 @ 9006.176 ms: miss_ratio = 0.36080, load_admit = 0.960, cache_tp = 6004.237, core_tp = 367.770
  *** #0 @ 9506.412 ms: miss_ratio = 0.35306, load_admit = 0.920, cache_tp = 5421.444, core_tp = 223.894
  *** #0 @ 10006.787 ms: miss_ratio = 0.34349, load_admit = 0.870, cache_tp = 8777.411, core_tp = 319.760
  *** #0 @ 10507.206 ms: miss_ratio = 0.33735, load_admit = 0.870, cache_tp = 6242.762, core_tp = 271.772
  *** #0 @ 11007.480 ms: miss_ratio = 0.32977, load_admit = 0.900, cache_tp = 7204.062, core_tp = 231.873
  *** #0 @ 11508.107 ms: miss_ratio = 0.31953, load_admit = 0.870, cache_tp = 9755.761, core_tp = 351.559
  *** #0 @ 12008.416 ms: miss_ratio = 0.30699, load_admit = 0.840, cache_tp = 14934.767, core_tp = 431.733
  *** #0 @ 12508.697 ms: miss_ratio = 0.30255, load_admit = 0.820, cache_tp = 4925.236, core_tp = 415.767
  *** #0 @ 13009.159 ms: miss_ratio = 0.29402, load_admit = 0.840, cache_tp = 9687.039, core_tp = 447.586
  *** #0 @ 13509.684 ms: miss_ratio = 0.28479, load_admit = 0.840, cache_tp = 11619.805, core_tp = 447.530
  *** #0 @ 14010.279 ms: miss_ratio = 0.26934, load_admit = 0.770, cache_tp = 18482.013, core_tp = 511.392
  *** #0 @ 14510.671 ms: miss_ratio = 0.25800, load_admit = 0.800, cache_tp = 14868.322, core_tp = 447.648

Measuring delta overhead... (15 - 30 secs)

  ??? #0 @ 15010.721 ms: miss_ratio = 0.25184, load_admit = 0.780, cache_tp = 8343.178, core_tp = 127.987
  ??? #0 @ 15510.870 ms: miss_ratio = 0.24940, load_admit = 0.760, cache_tp = 4486.657, core_tp = 471.859
  ??? #0 @ 16011.405 ms: miss_ratio = 0.24602, load_admit = 0.790, cache_tp = 5434.195, core_tp = 327.650
  ??? #0 @ 16511.569 ms: miss_ratio = 0.24672, load_admit = 0.780, cache_tp = 471.845, core_tp = 231.924
  ??? #0 @ 17012.057 ms: miss_ratio = 0.24411, load_admit = 0.760, cache_tp = 4907.213, core_tp = 223.782
  ??? #0 @ 17512.485 ms: miss_ratio = 0.23898, load_admit = 0.710, cache_tp = 7401.652, core_tp = 0.000
  ??? #0 @ 18012.720 ms: miss_ratio = 0.23615, load_admit = 0.740, cache_tp = 6556.920, core_tp = 671.684
  ??? #0 @ 18513.036 ms: miss_ratio = 0.23555, load_admit = 0.740, cache_tp = 2294.551, core_tp = 199.874
  ??? #0 @ 19013.038 ms: miss_ratio = 0.23262, load_admit = 0.780, cache_tp = 6391.972, core_tp = 255.999
  ??? #0 @ 19513.124 ms: miss_ratio = 0.23084, load_admit = 0.820, cache_tp = 5127.118, core_tp = 287.950
  ??? #0 @ 20013.440 ms: miss_ratio = 0.22421, load_admit = 0.850, cache_tp = 14263.003, core_tp = 447.718
  ??? #0 @ 20513.529 ms: miss_ratio = 0.22344, load_admit = 0.920, cache_tp = 3567.363, core_tp = 287.949
  ??? #0 @ 21013.862 ms: miss_ratio = 0.22170, load_admit = 0.890, cache_tp = 5052.638, core_tp = 383.745
  ??? #0 @ 21514.086 ms: miss_ratio = 0.21552, load_admit = 0.920, cache_tp = 16104.795, core_tp = 567.746
  ??? #0 @ 22014.332 ms: miss_ratio = 0.21035, load_admit = 0.910, cache_tp = 14728.738, core_tp = 575.716
  ??? #0 @ 22514.710 ms: miss_ratio = 0.20330, load_admit = 0.890, cache_tp = 18593.956, core_tp = 631.523
  ??? #0 @ 23014.863 ms: miss_ratio = 0.20068, load_admit = 0.870, cache_tp = 10636.731, core_tp = 607.813
  ??? #0 @ 23514.869 ms: miss_ratio = 0.19905, load_admit = 0.870, cache_tp = 6175.936, core_tp = 367.996
  ??? #0 @ 24015.009 ms: miss_ratio = 0.19785, load_admit = 0.860, cache_tp = 5062.578, core_tp = 295.917
  ??? #0 @ 24515.563 ms: miss_ratio = 0.19817, load_admit = 0.860, cache_tp = 2141.629, core_tp = 391.566
  ??? #0 @ 25015.599 ms: miss_ratio = 0.19734, load_admit = 0.840, cache_tp = 4887.649, core_tp = 471.966
  ??? #0 @ 25516.044 ms: miss_ratio = 0.19530, load_admit = 0.790, cache_tp = 7888.965, core_tp = 439.608
  ??? #0 @ 26016.634 ms: miss_ratio = 0.19254, load_admit = 0.860, cache_tp = 9988.231, core_tp = 583.313
  ??? #0 @ 26517.201 ms: miss_ratio = 0.19307, load_admit = 0.820, cache_tp = 1510.286, core_tp = 311.646
  ??? #0 @ 27017.221 ms: miss_ratio = 0.19172, load_admit = 0.800, cache_tp = 5527.772, core_tp = 431.982
  ??? #0 @ 27517.510 ms: miss_ratio = 0.18951, load_admit = 0.760, cache_tp = 9106.754, core_tp = 335.807
  ??? #0 @ 28017.885 ms: miss_ratio = 0.18834, load_admit = 0.750, cache_tp = 7634.265, core_tp = 447.664
  ??? #0 @ 28518.331 ms: miss_ratio = 0.18643, load_admit = 0.690, cache_tp = 10486.655, core_tp = 663.409
  ??? #0 @ 29018.842 ms: miss_ratio = 0.18702, load_admit = 0.720, cache_tp = 2693.247, core_tp = 527.461
  ??? #0 @ 29518.886 ms: miss_ratio = 0.18552, load_admit = 0.720, cache_tp = 9431.168, core_tp = 631.944

Start the experiment... (30 - 60 secs)

  ... #350 @ 30018.955 ms: miss_ratio = 0.18315, load_admit = 0.700, cache_tp = 16069.786, core_tp = 831.885
