
Progress:

  ... #1187 @ 500.133 ms: miss_ratio = 0.46578, load_admit = 1.000, cache_tp = 1719.543, core_tp = 4190.885
  ... #2367 @ 1000.143 ms: miss_ratio = 0.25664, load_admit = 1.000, cache_tp = 5423.892, core_tp = 599.988
  ... #3534 @ 1500.446 ms: miss_ratio = 0.17400, load_admit = 1.000, cache_tp = 7155.664, core_tp = 111.932
  ... #4725 @ 2000.453 ms: miss_ratio = 0.12997, load_admit = 1.000, cache_tp = 7831.890, core_tp = 8.000
  ... #5902 @ 2500.517 ms: miss_ratio = 0.10403, load_admit = 1.000, cache_tp = 8006.975, core_tp = 0.000
  ... #7089 @ 3000.732 ms: miss_ratio = 0.08661, load_admit = 1.000, cache_tp = 8108.513, core_tp = 0.000
  ... #8277 @ 3500.840 ms: miss_ratio = 0.07418, load_admit = 1.000, cache_tp = 8166.236, core_tp = 0.000
  ... #9467 @ 4000.882 ms: miss_ratio = 0.06486, load_admit = 1.000, cache_tp = 8143.316, core_tp = 0.000
  ... #10655 @ 4500.998 ms: miss_ratio = 0.05763, load_admit = 1.000, cache_tp = 8118.117, core_tp = 0.000
  ... #11842 @ 5001.199 ms: miss_ratio = 0.05185, load_admit = 1.000, cache_tp = 8140.727, core_tp = 0.000
  ... #13029 @ 5501.315 ms: miss_ratio = 0.04713, load_admit = 1.000, cache_tp = 8134.113, core_tp = 0.000
  ... #14205 @ 6001.749 ms: miss_ratio = 0.04322, load_admit = 1.000, cache_tp = 8065.000, core_tp = 0.000
  ... #15387 @ 6502.103 ms: miss_ratio = 0.03990, load_admit = 1.000, cache_tp = 8154.227, core_tp = 0.000
  ... #16568 @ 7002.357 ms: miss_ratio = 0.03706, load_admit = 1.000, cache_tp = 8083.893, core_tp = 0.000
  ... #17758 @ 7502.367 ms: miss_ratio = 0.03458, load_admit = 1.000, cache_tp = 8127.837, core_tp = 0.000
  ... #18943 @ 8002.382 ms: miss_ratio = 0.03241, load_admit = 1.000, cache_tp = 8111.757, core_tp = 0.000
  ... #20125 @ 8502.502 ms: miss_ratio = 0.03051, load_admit = 1.000, cache_tp = 8142.046, core_tp = 0.000
  ... #21302 @ 9002.669 ms: miss_ratio = 0.02882, load_admit = 1.000, cache_tp = 8077.302, core_tp = 0.000
  ... #22479 @ 9502.670 ms: miss_ratio = 0.02731, load_admit = 1.000, cache_tp = 8127.984, core_tp = 0.000
  ... #23662 @ 10002.756 ms: miss_ratio = 0.02595, load_admit = 1.000, cache_tp = 8086.609, core_tp = 0.000
  ... #24856 @ 10503.134 ms: miss_ratio = 0.02470, load_admit = 1.000, cache_tp = 8177.818, core_tp = 0.000
  ... #26036 @ 11003.489 ms: miss_ratio = 0.02358, load_admit = 1.000, cache_tp = 8090.256, core_tp = 0.000
  ... #27225 @ 11503.734 ms: miss_ratio = 0.02255, load_admit = 1.000, cache_tp = 8084.039, core_tp = 0.000
  ... #28403 @ 12003.756 ms: miss_ratio = 0.02162, load_admit = 1.000, cache_tp = 8103.643, core_tp = 0.000
  ... #29596 @ 12504.076 ms: miss_ratio = 0.02075, load_admit = 1.000, cache_tp = 8130.796, core_tp = 0.000
  ... #30784 @ 13004.407 ms: miss_ratio = 0.01995, load_admit = 1.000, cache_tp = 8114.628, core_tp = 0.000
  ... #31962 @ 13504.601 ms: miss_ratio = 0.01921, load_admit = 1.000, cache_tp = 8052.875, core_tp = 0.000
  ... #33144 @ 14005.018 ms: miss_ratio = 0.01853, load_admit = 1.000, cache_tp = 8065.274, core_tp = 0.000
  ... #34345 @ 14505.263 ms: miss_ratio = 0.01788, load_admit = 1.000, cache_tp = 8195.984, core_tp = 0.000
  ... #35544 @ 15005.315 ms: miss_ratio = 0.01727, load_admit = 0.980, cache_tp = 8199.147, core_tp = 87.991
  ... #36729 @ 15505.581 ms: miss_ratio = 0.01672, load_admit = 1.000, cache_tp = 8091.695, core_tp = 159.915
  ... #37914 @ 16005.679 ms: miss_ratio = 0.01619, load_admit = 0.990, cache_tp = 8086.415, core_tp = 87.983
  ... #39096 @ 16505.768 ms: miss_ratio = 0.01570, load_admit = 0.980, cache_tp = 8118.555, core_tp = 71.987
  ... #40280 @ 17005.780 ms: miss_ratio = 0.01524, load_admit = 0.980, cache_tp = 8119.805, core_tp = 247.994
  ... #41462 @ 17505.984 ms: miss_ratio = 0.01481, load_admit = 0.970, cache_tp = 8060.711, core_tp = 103.958
  ... #42653 @ 18006.164 ms: miss_ratio = 0.01440, load_admit = 0.970, cache_tp = 8125.075, core_tp = 423.847
  ... #43840 @ 18506.502 ms: miss_ratio = 0.01401, load_admit = 0.960, cache_tp = 8098.525, core_tp = 263.822
  ... #45031 @ 19006.513 ms: miss_ratio = 0.01364, load_admit = 0.960, cache_tp = 8119.821, core_tp = 447.990
  ... #46217 @ 19506.665 ms: miss_ratio = 0.01329, load_admit = 0.950, cache_tp = 8133.527, core_tp = 287.912
  ... #47405 @ 20006.822 ms: miss_ratio = 0.01295, load_admit = 0.930, cache_tp = 8133.446, core_tp = 543.829
  ... #48597 @ 20507.017 ms: miss_ratio = 0.01263, load_admit = 0.950, cache_tp = 8164.816, core_tp = 519.797
  ... #49787 @ 21007.274 ms: miss_ratio = 0.01233, load_admit = 0.960, cache_tp = 8179.796, core_tp = 631.675
  ... #50969 @ 21507.507 ms: miss_ratio = 0.01205, load_admit = 0.960, cache_tp = 8108.222, core_tp = 327.847
  ... #52168 @ 22007.704 ms: miss_ratio = 0.01177, load_admit = 0.930, cache_tp = 8180.777, core_tp = 471.814
  ... #53354 @ 22507.706 ms: miss_ratio = 0.01151, load_admit = 0.950, cache_tp = 8143.967, core_tp = 551.998
  ... #54539 @ 23007.712 ms: miss_ratio = 0.01126, load_admit = 0.940, cache_tp = 8119.903, core_tp = 471.994
  ... #55721 @ 23507.869 ms: miss_ratio = 0.01102, load_admit = 0.930, cache_tp = 8133.446, core_tp = 535.832
  ... #56916 @ 24008.330 ms: miss_ratio = 0.01079, load_admit = 0.930, cache_tp = 8168.469, core_tp = 647.403
  ... #58110 @ 24508.600 ms: miss_ratio = 0.01057, load_admit = 0.920, cache_tp = 8235.553, core_tp = 591.680
