
Progress:

  ... #2076 @ 500.203 ms: miss_ratio = 0.42826, load_admit = 1.000, cache_tp = 1327.461, core_tp = 4774.062
  ... #4088 @ 1000.258 ms: miss_ratio = 0.27180, load_admit = 1.000, cache_tp = 0.000, core_tp = 135.985
  ... #6079 @ 1500.500 ms: miss_ratio = 0.20033, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #8084 @ 2000.566 ms: miss_ratio = 0.15890, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #10091 @ 2500.607 ms: miss_ratio = 0.13153, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #12103 @ 3000.868 ms: miss_ratio = 0.11172, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #14231 @ 3500.906 ms: miss_ratio = 0.09640, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #16263 @ 4001.057 ms: miss_ratio = 0.04692, load_admit = 1.000, cache_tp = 2591.217, core_tp = 0.000
  ... #18247 @ 4501.280 ms: miss_ratio = 0.04192, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #20220 @ 5001.282 ms: miss_ratio = 0.03796, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #22231 @ 5501.482 ms: miss_ratio = 0.03452, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #24243 @ 6001.562 ms: miss_ratio = 0.03170, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #26244 @ 6501.726 ms: miss_ratio = 0.02927, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #28246 @ 7001.829 ms: miss_ratio = 0.02724, load_admit = 1.000, cache_tp = 0.000, core_tp = 0.000
  ... #30271 @ 7502.082 ms: miss_ratio = 0.02055, load_admit = 1.000, cache_tp = 3846.054, core_tp = 0.000
  ... #32351 @ 8002.097 ms: miss_ratio = 0.01898, load_admit = 1.000, cache_tp = 8399.748, core_tp = 0.000
  ... #34420 @ 8502.108 ms: miss_ratio = 0.01784, load_admit = 1.000, cache_tp = 8543.812, core_tp = 0.000
  ... #36467 @ 9002.295 ms: miss_ratio = 0.01684, load_admit = 1.000, cache_tp = 8476.830, core_tp = 0.000
  ... #38526 @ 9502.366 ms: miss_ratio = 0.01594, load_admit = 1.000, cache_tp = 8462.798, core_tp = 0.000
  ... #40567 @ 10002.422 ms: miss_ratio = 0.01514, load_admit = 1.000, cache_tp = 6159.310, core_tp = 0.000
  ... #42576 @ 10502.481 ms: miss_ratio = 0.01442, load_admit = 1.000, cache_tp = 2655.687, core_tp = 0.000
  ... #44588 @ 11002.556 ms: miss_ratio = 0.01377, load_admit = 1.000, cache_tp = 2847.573, core_tp = 0.000
  ... #46597 @ 11502.591 ms: miss_ratio = 0.01318, load_admit = 1.000, cache_tp = 2999.790, core_tp = 0.000
  ... #48611 @ 12002.644 ms: miss_ratio = 0.01263, load_admit = 1.000, cache_tp = 2935.689, core_tp = 0.000
  ... #50608 @ 12502.818 ms: miss_ratio = 0.01213, load_admit = 1.000, cache_tp = 2719.054, core_tp = 0.000
